aakagh*[N][Abl_Mod][Unpd][Sg]	aakaghmeng
anengagh[N][Abl_Mod][Unpd][Sg]	anengameng
elngaatall[N][Abl_Mod][Unpd][Sg]	elngaatallmeng
estugagh*[N][Abl_Mod][Unpd][Sg]	estugaghmeng
igaghvig[N][Abl_Mod][Unpd][Sg]	igaghvigmeng
iyaghvig[N][Abl_Mod][Unpd][Sg]	iyaghvigmeng
itegagh[N][Abl_Mod][Unpd][Sg]	itegameng
naasqugh[N][Abl_Mod][Unpd][Sg]	naasqumeng
nayag[N][Abl_Mod][Unpd][Sg]	nayagmeng
ngelqagh[N][Abl_Mod][Unpd][Sg]	ngelqameng
nunivag[N][Abl_Mod][Unpd][Sg]	nunivagmeng
papeg[N][Abl_Mod][Unpd][Sg]	papegmeng
puu[N][Abl_Mod][Unpd][Sg]	puumeng
qanegh[N][Abl_Mod][Unpd][Sg]	qaneghmeng
qengagh[N][Abl_Mod][Unpd][Sg]	qengameng
quunpeng[N][Abl_Mod][Unpd][Sg]	quunpengmeng
suflugagh[N][Abl_Mod][Unpd][Sg]	suflugameng
tepe[N][Abl_Mod][Unpd][Sg]	tepmeng
tukugh*[N][Abl_Mod][Unpd][Sg]	tukughmeng
tume[N][Abl_Mod][Unpd][Sg]	tuummeng
unaami[N][Abl_Mod][Unpd][Sg]	unaamimeng
uyughagh*[N][Abl_Mod][Unpd][Sg]	uyughaghmeng
yughaghvig[N][Abl_Mod][Unpd][Sg]	yughaghvigmeng
