aakagh*[N][Equ][Unpd][Pl]	aakaastun
aakagh*[N][Equ][Unpd][Sg]	aakaghtun
aakagh*[N][Loc][Unpd][Pl]	aakaghni
aakagh*[N][Loc][Unpd][Sg]	aakaghmi
aakagh*[N][Ter][Unpd][Pl]	aakaghnun
aakagh*[N][Ter][Unpd][Sg]	aakaghmun
aakagh*[N][Via][Unpd][Pl]	aakaatgun
aakagh*[N][Via][Unpd][Sg]	aakaghqun
anengagh[N][Equ][Unpd][Pl]	anengastun
anengagh[N][Equ][Unpd][Sg]	anengatun
anengagh[N][Loc][Unpd][Pl]	anengani
anengagh[N][Loc][Unpd][Sg]	anengami
anengagh[N][Ter][Unpd][Pl]	anenganun
anengagh[N][Ter][Unpd][Sg]	anengamun
anengagh[N][Via][Unpd][Pl]	anengatgun
anengagh[N][Via][Unpd][Sg]	anengakun
angyagh[N][Equ][Unpd][Pl]	angyastun
angyagh[N][Equ][Unpd][Sg]	angyatun
angyagh[N][Loc][Unpd][Pl]	angyani
angyagh[N][Loc][Unpd][Sg]	angyami
angyagh[N][Ter][Unpd][Pl]	angyanun
angyagh[N][Ter][Unpd][Sg]	angyamun
angyagh[N][Via][Unpd][Pl]	angyatgun
angyagh[N][Via][Unpd][Sg]	angyakun
estugagh*[N][Equ][Unpd][Pl]	estugaastun
estugagh*[N][Equ][Unpd][Sg]	estugaghtun
estugagh*[N][Loc][Unpd][Pl]	estugaghni
estugagh*[N][Loc][Unpd][Sg]	estugaghmi
estugagh*[N][Ter][Unpd][Pl]	estugaghnun
estugagh*[N][Ter][Unpd][Sg]	estugaghmun
estugagh*[N][Via][Unpd][Pl]	estugaatgun
estugagh*[N][Via][Unpd][Sg]	estugaghqun
igaghvig[N][Equ][Unpd][Pl]	igaghvigestun
igaghvig[N][Equ][Unpd][Sg]	igaghvigtun
igaghvig[N][Loc][Unpd][Pl]	igaghvigni
igaghvig[N][Loc][Unpd][Sg]	igaghvigmi
igaghvig[N][Ter][Unpd][Pl]	igaghvignun
igaghvig[N][Ter][Unpd][Sg]	igaghvigmun
igaghvig[N][Via][Unpd][Pl]	igaghvigetgun
igaghvig[N][Via][Unpd][Sg]	igaghvigkun
itegagh[N][Equ][Unpd][Pl]	itegastun
itegagh[N][Equ][Unpd][Sg]	itegatun
itegagh[N][Loc][Unpd][Pl]	itegani
itegagh[N][Loc][Unpd][Sg]	itegami
itegagh[N][Ter][Unpd][Pl]	iteganun
itegagh[N][Ter][Unpd][Sg]	itegamun
itegagh[N][Via][Unpd][Pl]	itegatgun
itegagh[N][Via][Unpd][Sg]	itegakun
iyaghvig[N][Equ][Unpd][Pl]	iyaghvigestun
iyaghvig[N][Equ][Unpd][Sg]	iyaghvigtun
iyaghvig[N][Loc][Unpd][Pl]	iyaghvigni
iyaghvig[N][Loc][Unpd][Sg]	iyaghvigmi
iyaghvig[N][Ter][Unpd][Pl]	iyaghvignun
iyaghvig[N][Ter][Unpd][Sg]	iyaghvigmun
iyaghvig[N][Via][Unpd][Pl]	iyaghvigetgun
iyaghvig[N][Via][Unpd][Sg]	iyaghvigkun
naasqugh[N][Equ][Unpd][Pl]	naasqustun
naasqugh[N][Equ][Unpd][Sg]	naasqutun
naasqugh[N][Loc][Unpd][Pl]	naasquni
naasqugh[N][Loc][Unpd][Sg]	naasqumi
naasqugh[N][Ter][Unpd][Pl]	naasqunun
naasqugh[N][Ter][Unpd][Sg]	naasqumun
naasqugh[N][Via][Unpd][Pl]	naasqutgun
naasqugh[N][Via][Unpd][Sg]	naasqukun
naayvagh[N][Equ][Unpd][Pl]	naayvastun
naayvagh[N][Equ][Unpd][Sg]	naayvatun
naayvagh[N][Loc][Unpd][Pl]	naayvani
naayvagh[N][Loc][Unpd][Sg]	naayvami
naayvagh[N][Ter][Unpd][Pl]	naayvanun
naayvagh[N][Ter][Unpd][Sg]	naayvamun
naayvagh[N][Via][Unpd][Pl]	naayvatgun
naayvagh[N][Via][Unpd][Sg]	naayvakun
nayag[N][Equ][Unpd][Pl]	nayagestun
nayag[N][Equ][Unpd][Sg]	nayagtun
nayag[N][Loc][Unpd][Pl]	nayagni
nayag[N][Loc][Unpd][Sg]	nayagmi
nayag[N][Ter][Unpd][Pl]	nayagnun
nayag[N][Ter][Unpd][Sg]	nayagmun
nayag[N][Via][Unpd][Pl]	nayagetgun
nayag[N][Via][Unpd][Sg]	nayagkun
ngelqagh[N][Equ][Unpd][Pl]	ngelqastun
ngelqagh[N][Equ][Unpd][Sg]	ngelqatun
ngelqagh[N][Loc][Unpd][Pl]	ngelqani
ngelqagh[N][Loc][Unpd][Sg]	ngelqami
