aakagh*[N][Equ][Unpd][Pl]	aakaastun
aakagh*[N][Equ][Unpd][Sg]	aakaghtun
anengagh[N][Equ][Unpd][Pl]	anengastun
anengagh[N][Equ][Unpd][Sg]	anengatun
angyagh[N][Equ][Unpd][Pl]	angyastun
angyagh[N][Equ][Unpd][Sg]	angyatun
estugagh*[N][Equ][Unpd][Pl]	estugaastun
estugagh*[N][Equ][Unpd][Sg]	estugaghtun
igaghvig[N][Equ][Unpd][Pl]	igaghvigestun
igaghvig[N][Equ][Unpd][Sg]	igaghvigtun
itegagh[N][Equ][Unpd][Pl]	itegastun
itegagh[N][Equ][Unpd][Sg]	itegatun
iyaghvig[N][Equ][Unpd][Pl]	iyaghvigestun
iyaghvig[N][Equ][Unpd][Sg]	iyaghvigtun
naasqugh[N][Equ][Unpd][Pl]	naasqustun
naasqugh[N][Equ][Unpd][Sg]	naasqutun
naayvagh[N][Equ][Unpd][Pl]	naayvastun
naayvagh[N][Equ][Unpd][Sg]	naayvatun
nayag[N][Equ][Unpd][Pl]	nayagestun
nayag[N][Equ][Unpd][Sg]	nayagtun
ngelqagh[N][Equ][Unpd][Pl]	ngelqastun
ngelqagh[N][Equ][Unpd][Sg]	ngelqatun
nuna[N][Equ][Unpd][Pl]	nunastun
nuna[N][Equ][Unpd][Sg]	nunatun
nunivag[N][Equ][Unpd][Pl]	nunivagestun
nunivag[N][Equ][Unpd][Sg]	nunivagtun
pagunghagh*[N][Equ][Unpd][Pl]	pagunghaastun
pagunghagh*[N][Equ][Unpd][Sg]	pagunghaghtun
papeg[N][Equ][Unpd][Pl]	paapgestun
papeg[N][Equ][Unpd][Sg]	papegtun
puu[N][Equ][Unpd][Pl]	puustun
puu[N][Equ][Unpd][Sg]	puutun
qanegh[N][Equ][Unpd][Pl]	qaanghestun
qanegh[N][Equ][Unpd][Sg]	qaneghtun
qengagh[N][Equ][Unpd][Pl]	qengastun
qengagh[N][Equ][Unpd][Sg]	qengatun
qikmigh[N][Equ][Unpd][Pl]	qikmistun
qikmigh[N][Equ][Unpd][Sg]	qikmitun
savig[N][Equ][Unpd][Pl]	savigestun
savig[N][Equ][Unpd][Sg]	savigtun
suflugagh[N][Equ][Unpd][Pl]	suflugastun
suflugagh[N][Equ][Unpd][Sg]	suflugatun
tepe[N][Equ][Unpd][Pl]	tepestun
tepe[N][Equ][Unpd][Sg]	teptun
tukugh*[N][Equ][Unpd][Pl]	tukuustun
tukugh*[N][Equ][Unpd][Sg]	tukughtun
tume[N][Equ][Unpd][Pl]	tumestun
tume[N][Equ][Unpd][Sg]	tuumtun
unaami[N][Equ][Unpd][Pl]	unaamistun
unaami[N][Equ][Unpd][Sg]	unaamitun
uyughagh*[N][Equ][Unpd][Pl]	uyughaastun
uyughagh*[N][Equ][Unpd][Sg]	uyughaghtun
vegaagh[N][Equ][Unpd][Pl]	vegaaghestun
vegaagh[N][Equ][Unpd][Sg]	vegaaghtun
yughaghvig[N][Equ][Unpd][Pl]	yughaghvigestun
yughaghvig[N][Equ][Unpd][Sg]	yughaghvigtun
Yupig[N][Equ][Unpd][Pl]	Yupigestun
Yupig[N][Equ][Unpd][Sg]	Yupigtun
