aakagh*[N][Loc][Unpd][Pl]	aakaghni
aakagh*[N][Loc][Unpd][Sg]	aakaghmi
anengagh[N][Loc][Unpd][Pl]	anengani
anengagh[N][Loc][Unpd][Sg]	anengami
angyagh[N][Loc][Unpd][Pl]	angyani
angyagh[N][Loc][Unpd][Sg]	angyami
elngaatall[N][Loc][Unpd][Pl]	elngaatallni
elngaatall[N][Loc][Unpd][Sg]	elngaatallmi
estugagh*[N][Loc][Unpd][Pl]	estugaghni
estugagh*[N][Loc][Unpd][Sg]	estugaghmi
igaghvig[N][Loc][Unpd][Pl]	igaghvigni
igaghvig[N][Loc][Unpd][Sg]	igaghvigmi
itegagh[N][Loc][Unpd][Pl]	itegani
itegagh[N][Loc][Unpd][Sg]	itegami
iyaghvig[N][Loc][Unpd][Pl]	iyaghvigni
iyaghvig[N][Loc][Unpd][Sg]	iyaghvigmi
naasqugh[N][Loc][Unpd][Pl]	naasquni
naasqugh[N][Loc][Unpd][Sg]	naasqumi
naayvagh[N][Loc][Unpd][Pl]	naayvani
naayvagh[N][Loc][Unpd][Sg]	naayvami
nayag[N][Loc][Unpd][Pl]	nayagni
nayag[N][Loc][Unpd][Sg]	nayagmi
ngelqagh[N][Loc][Unpd][Pl]	ngelqani
ngelqagh[N][Loc][Unpd][Sg]	ngelqami
nuna[N][Loc][Unpd][Pl]	nunani
nuna[N][Loc][Unpd][Sg]	nunami
nunivag[N][Loc][Unpd][Pl]	nunivagni
nunivag[N][Loc][Unpd][Sg]	nunivagmi
pagunghagh*[N][Loc][Unpd][Pl]	pagunghaghni
pagunghagh*[N][Loc][Unpd][Sg]	pagunghaghmi
papeg[N][Loc][Unpd][Pl]	papegni
papeg[N][Loc][Unpd][Sg]	papegmi
puu[N][Loc][Unpd][Pl]	puuni
puu[N][Loc][Unpd][Sg]	puumi
qanegh[N][Loc][Unpd][Pl]	qaneghni
qanegh[N][Loc][Unpd][Sg]	qaneghmi
qengagh[N][Loc][Unpd][Pl]	qengani
qengagh[N][Loc][Unpd][Sg]	qengami
qikmigh[N][Loc][Unpd][Pl]	qikmini
qikmigh[N][Loc][Unpd][Sg]	qikmimi
savig[N][Loc][Unpd][Pl]	savigni
savig[N][Loc][Unpd][Sg]	savigmi
suflugagh[N][Loc][Unpd][Pl]	suflugani
suflugagh[N][Loc][Unpd][Sg]	suflugami
tepe[N][Loc][Unpd][Pl]	tepni
tepe[N][Loc][Unpd][Sg]	tepmi
tukugh*[N][Loc][Unpd][Pl]	tukughni
tukugh*[N][Loc][Unpd][Sg]	tukughmi
tume[N][Loc][Unpd][Pl]	tuumni
tume[N][Loc][Unpd][Sg]	tuummi
unaami[N][Loc][Unpd][Pl]	unaamini
unaami[N][Loc][Unpd][Sg]	unaamimi
uyughagh*[N][Loc][Unpd][Pl]	uyughaghni
uyughagh*[N][Loc][Unpd][Sg]	uyughaghmi
vegaagh[N][Loc][Unpd][Pl]	vegaaghni
vegaagh[N][Loc][Unpd][Sg]	vegaaghmi
yughaghvig[N][Loc][Unpd][Pl]	yughaghvigni
yughaghvig[N][Loc][Unpd][Sg]	yughaghvigmi
Yupig[N][Loc][Unpd][Pl]	Yupigni
Yupig[N][Loc][Unpd][Sg]	Yupigmi
