aakagh*[N][Ter][Unpd][Pl]	aakaghnun
aakagh*[N][Ter][Unpd][Sg]	aakaghmun
anengagh[N][Ter][Unpd][Pl]	anenganun
anengagh[N][Ter][Unpd][Sg]	anengamun
angyagh[N][Ter][Unpd][Pl]	angyanun
angyagh[N][Ter][Unpd][Sg]	angyamun
estugagh*[N][Ter][Unpd][Pl]	estugaghnun
estugagh*[N][Ter][Unpd][Sg]	estugaghmun
igaghvig[N][Ter][Unpd][Pl]	igaghvignun
igaghvig[N][Ter][Unpd][Sg]	igaghvigmun
itegagh[N][Ter][Unpd][Pl]	iteganun
itegagh[N][Ter][Unpd][Sg]	itegamun
iyaghvig[N][Ter][Unpd][Pl]	iyaghvignun
iyaghvig[N][Ter][Unpd][Sg]	iyaghvigmun
naasqugh[N][Ter][Unpd][Pl]	naasqunun
naasqugh[N][Ter][Unpd][Sg]	naasqumun
naayvagh[N][Ter][Unpd][Pl]	naayvanun
naayvagh[N][Ter][Unpd][Sg]	naayvamun
nayag[N][Ter][Unpd][Pl]	nayagnun
nayag[N][Ter][Unpd][Sg]	nayagmun
ngelqagh[N][Ter][Unpd][Pl]	ngelqanun
ngelqagh[N][Ter][Unpd][Sg]	ngelqamun
nuna[N][Ter][Unpd][Pl]	nunanun
nuna[N][Ter][Unpd][Sg]	nunamun
nunivag[N][Ter][Unpd][Pl]	nunivagnun
nunivag[N][Ter][Unpd][Sg]	nunivagmun
pagunghagh*[N][Ter][Unpd][Pl]	pagunghaghnun
pagunghagh*[N][Ter][Unpd][Sg]	pagunghaghmun
papeg[N][Ter][Unpd][Pl]	papegnun
papeg[N][Ter][Unpd][Sg]	papegmun
puu[N][Ter][Unpd][Pl]	puunun
puu[N][Ter][Unpd][Sg]	puumun
qanegh[N][Ter][Unpd][Pl]	qaneghnun
qanegh[N][Ter][Unpd][Sg]	qaneghmun
qengagh[N][Ter][Unpd][Pl]	qenganun
qengagh[N][Ter][Unpd][Sg]	qengamun
qikmigh[N][Ter][Unpd][Pl]	qikminun
qikmigh[N][Ter][Unpd][Sg]	qikmimun
savig[N][Ter][Unpd][Pl]	savignun
savig[N][Ter][Unpd][Sg]	savigmun
suflugagh[N][Ter][Unpd][Pl]	sufluganun
suflugagh[N][Ter][Unpd][Sg]	suflugamun
tepe[N][Ter][Unpd][Pl]	tepnun
tepe[N][Ter][Unpd][Sg]	tepmun
tukugh*[N][Ter][Unpd][Pl]	tukughnun
tukugh*[N][Ter][Unpd][Sg]	tukughmun
tume[N][Ter][Unpd][Pl]	tuumnun
tume[N][Ter][Unpd][Sg]	tuummun
unaami[N][Ter][Unpd][Pl]	unaaminun
unaami[N][Ter][Unpd][Sg]	unaamimun
uyughagh*[N][Ter][Unpd][Pl]	uyughaghnun
uyughagh*[N][Ter][Unpd][Sg]	uyughaghmun
vegaagh[N][Ter][Unpd][Pl]	vegaaghnun
vegaagh[N][Ter][Unpd][Sg]	vegaaghmun
yughaghvig[N][Ter][Unpd][Pl]	yughaghvignun
yughaghvig[N][Ter][Unpd][Sg]	yughaghvigmun
Yupig[N][Ter][Unpd][Pl]	Yupignun
Yupig[N][Ter][Unpd][Sg]	Yupigmun
