aakagh*[N][Via][Unpd][Pl]	aakaatgun
aakagh*[N][Via][Unpd][Sg]	aakaghkun
anengagh[N][Via][Unpd][Pl]	anengatgun
anengagh[N][Via][Unpd][Sg]	anengakun
angyagh[N][Via][Unpd][Pl]	angyatgun
angyagh[N][Via][Unpd][Sg]	angyakun
elngaatall[N][Via][Unpd][Pl]	elngaatalletgun
elngaatall[N][Via][Unpd][Sg]	elngaatallkun
estugagh*[N][Via][Unpd][Pl]	estugaatgun
estugagh*[N][Via][Unpd][Sg]	estugaghkun
igaghvig[N][Via][Unpd][Pl]	igaghvigetgun
igaghvig[N][Via][Unpd][Sg]	igaghvigkun
itegagh[N][Via][Unpd][Pl]	itegatgun
itegagh[N][Via][Unpd][Sg]	itegakun
iyaghvig[N][Via][Unpd][Pl]	iyaghvigetgun
iyaghvig[N][Via][Unpd][Sg]	iyaghvigkun
naasqugh[N][Via][Unpd][Pl]	naasqutgun
naasqugh[N][Via][Unpd][Sg]	naasqukun
naayvagh[N][Via][Unpd][Pl]	naayvatgun
naayvagh[N][Via][Unpd][Sg]	naayvakun
nayag[N][Via][Unpd][Pl]	nayagetgun
nayag[N][Via][Unpd][Sg]	nayagkun
ngelqagh[N][Via][Unpd][Pl]	ngelqatgun
ngelqagh[N][Via][Unpd][Sg]	ngelqakun
nuna[N][Via][Unpd][Pl]	nunatgun
nuna[N][Via][Unpd][Sg]	nunakun
nunivag[N][Via][Unpd][Pl]	nunivagetgun
nunivag[N][Via][Unpd][Sg]	nunivagkun
pagunghagh*[N][Via][Unpd][Pl]	pagunghaghetgun
pagunghagh*[N][Via][Unpd][Sg]	pagunghaghkun
papeg[N][Via][Unpd][Pl]	paapgetgun
papeg[N][Via][Unpd][Sg]	papegkun
puu[N][Via][Unpd][Pl]	puutgun
puu[N][Via][Unpd][Sg]	puukun
qanegh[N][Via][Unpd][Pl]	qaanghetgun
qanegh[N][Via][Unpd][Sg]	qaneghkun
qengagh[N][Via][Unpd][Pl]	qengatgun
qengagh[N][Via][Unpd][Sg]	qengakun
qikmigh[N][Via][Unpd][Pl]	qikmitgun
qikmigh[N][Via][Unpd][Sg]	qikmikun
savig[N][Via][Unpd][Pl]	savigetgun
savig[N][Via][Unpd][Sg]	savigkun
suflugagh[N][Via][Unpd][Pl]	suflugatgun
suflugagh[N][Via][Unpd][Sg]	suflugakun
tepe[N][Via][Unpd][Pl]	tepetgun
tepe[N][Via][Unpd][Sg]	tepkun
tukugh*[N][Via][Unpd][Pl]	tukuutgun
tukugh*[N][Via][Unpd][Sg]	tukughkun
tume[N][Via][Unpd][Pl]	tumetgun
tume[N][Via][Unpd][Sg]	tuumkun
unaami[N][Via][Unpd][Pl]	unaamitgun
unaami[N][Via][Unpd][Sg]	unaamikun
uyughagh*[N][Via][Unpd][Pl]	uyughaatgun
uyughagh*[N][Via][Unpd][Sg]	uyughaghkun
vegaagh[N][Via][Unpd][Pl]	vegaaghetgun
vegaagh[N][Via][Unpd][Sg]	vegaaghqun
yughaghvig[N][Via][Unpd][Pl]	yughaghvigetgun
yughaghvig[N][Via][Unpd][Sg]	yughaghvigkun
Yupig[N][Via][Unpd][Pl]	Yupigetgun
Yupig[N][Via][Unpd][Sg]	Yupigkun
