aglagh[V][Intr_Ind][1Du]	aglaghtukung
aglagh[V][Intr_Ind][1Pl]	aglaghtukut
aglagh[V][Intr_Ind][1Sg]	aglaghtunga
aglagh[V][Intr_Ind][2Du]	aglaghtutek
aglagh[V][Intr_Ind][2Pl]	aglaghtusi
aglagh[V][Intr_Ind][2Sg]	aglaghtuten
aglagh[V][Intr_Ind][3Du]	aglaghtuk
aglagh[V][Intr_Ind][3Pl]	aglaghtut
aglagh[V][Intr_Ind][3Sg]	aglaghtuq
igatagh[V][Intr_Ind][1Du]	igataghtukung
igatagh[V][Intr_Ind][1Pl]	igataghtukut
igatagh[V][Intr_Ind][1Sg]	igataghtunga
igatagh[V][Intr_Ind][2Du]	igataghtutek
igatagh[V][Intr_Ind][2Pl]	igataghtusi
igatagh[V][Intr_Ind][2Sg]	igataghtuten
igatagh[V][Intr_Ind][3Du]	igataghtuk
igatagh[V][Intr_Ind][3Pl]	igataghtut
igatagh[V][Intr_Ind][3Sg]	igataghtuq
iyatagh[V][Intr_Ind][1Du]	iyataghtukung
iyatagh[V][Intr_Ind][1Pl]	iyataghtukut
iyatagh[V][Intr_Ind][1Sg]	iyataghtunga
iyatagh[V][Intr_Ind][2Du]	iyataghtutek
iyatagh[V][Intr_Ind][2Pl]	iyataghtusi
iyatagh[V][Intr_Ind][2Sg]	iyataghtuten
iyatagh[V][Intr_Ind][3Du]	iyataghtuk
iyatagh[V][Intr_Ind][3Pl]	iyataghtut
iyatagh[V][Intr_Ind][3Sg]	iyataghtuq
mayugh[V][Intr_Ind][1Du]	mayughtukung
mayugh[V][Intr_Ind][1Pl]	mayughtukut
mayugh[V][Intr_Ind][1Sg]	mayughtunga
mayugh[V][Intr_Ind][2Du]	mayughtutek
mayugh[V][Intr_Ind][2Pl]	mayughtusi
mayugh[V][Intr_Ind][2Sg]	mayughtuten
mayugh[V][Intr_Ind][3Du]	mayughtuk
mayugh[V][Intr_Ind][3Pl]	mayughtut
mayugh[V][Intr_Ind][3Sg]	mayughtuq
qepghagh[V][Intr_Ind][1Du]	qepghaghtukung
qepghagh[V][Intr_Ind][1Pl]	qepghaghtukut
qepghagh[V][Intr_Ind][1Sg]	qepghaghtunga
qepghagh[V][Intr_Ind][2Du]	qepghaghtutek
qepghagh[V][Intr_Ind][2Pl]	qepghaghtusi
qepghagh[V][Intr_Ind][2Sg]	qepghaghtuten
qepghagh[V][Intr_Ind][3Du]	qepghaghtuk
qepghagh[V][Intr_Ind][3Pl]	qepghaghtut
qepghagh[V][Intr_Ind][3Sg]	qepghaghtuq
taaqe[V][Intr_Ind][1Du]	taaqukung
taaqe[V][Intr_Ind][1Pl]	taaqukut
taaqe[V][Intr_Ind][1Sg]	taaqunga
taaqe[V][Intr_Ind][2Du]	taaqutek
taaqe[V][Intr_Ind][2Pl]	taaqusi
taaqe[V][Intr_Ind][2Sg]	taaquten
taaqe[V][Intr_Ind][3Du]	taaquk
taaqe[V][Intr_Ind][3Pl]	taaqut
taaqe[V][Intr_Ind][3Sg]	taaquq
ukig[V][Intr_Ind][1Du]	ukigtukung
ukig[V][Intr_Ind][1Pl]	ukigtukut
ukig[V][Intr_Ind][1Sg]	ukigtunga
ukig[V][Intr_Ind][2Du]	ukigtutek
ukig[V][Intr_Ind][2Pl]	ukigtusi
ukig[V][Intr_Ind][2Sg]	ukigtuten
ukig[V][Intr_Ind][3Du]	ukigtuk
ukig[V][Intr_Ind][3Pl]	ukigtut
ukig[V][Intr_Ind][3Sg]	ukigtuq
umughqaa[V][Intr_Ind][1Du]	umughqaagukung
umughqaa[V][Intr_Ind][1Pl]	umughqaagukut
umughqaa[V][Intr_Ind][1Sg]	umughqaagunga
umughqaa[V][Intr_Ind][2Du]	umughqaagutek
umughqaa[V][Intr_Ind][2Pl]	umughqaagusi
umughqaa[V][Intr_Ind][2Sg]	umughqaaguten
umughqaa[V][Intr_Ind][3Du]	umughqaaguk
umughqaa[V][Intr_Ind][3Pl]	umughqaagut
umughqaa[V][Intr_Ind][3Sg]	umughqaaguq
yughagh[V][Intr_Ind][1Du]	yughaghtukung
yughagh[V][Intr_Ind][1Pl]	yughaghtukut
yughagh[V][Intr_Ind][1Sg]	yughaghtunga
yughagh[V][Intr_Ind][2Du]	yughaghtutek
yughagh[V][Intr_Ind][2Pl]	yughaghtusi
yughagh[V][Intr_Ind][2Sg]	yughaghtuten
yughagh[V][Intr_Ind][3Du]	yughaghtuk
yughagh[V][Intr_Ind][3Pl]	yughaghtut
yughagh[V][Intr_Ind][3Sg]	yughaghtuq
