aakagh*[N][Abs][3SgPoss][DuPosd]	aakaghqek
aaw[N][Abs][3SgPoss][SgPosd]	aawa
aghnagh-~:(ng₁)u[N→V]-~(g₁)aqe[V→V][V][Intr][Ind][3Sg]	aghnaawaquq
aghnagh-~:(ng₁)u[N→V][V][Intr][Ind][3Sg]	aghnaaguq
anengagh[N][Abs][3SgPoss][DuPosd]	anengakek
angyagh[N][Abs][3SgPoss][SgPosd]	angyaa
asag[N][Abs][3SgPoss][DuPosd]	asagkek
ata[N][Abs][3SgPoss][SgPosd]	atanga
ategh[N][Abs][3SgPoss][SgPosd]	aatgha
ggute[N][Abs][3SgPoss][SgPosd]	gguutnga
ila[N][Abs][3PlPoss][PlPosd]	ilangit
ila[N][Abs][3PlPoss][SgPosd]	ilangat
ila[N][Abs][3SgPoss][SgPosd]	ilanga
iye[N][Abs][3SgPoss][DuPosd]	iiskek
mekelghiigh[N][Rel][Unpd][Sg]	mekelghiighem
naa[N][Abs][3SgPoss][SgPosd]	naanga
nengyugh[N][Abs][3SgPoss][SgPosd]	nengyaa
pengugh[N][Abs][3SgPoss][SgPosd]	pengwaa
qergese[N][Abs][3SgPoss][DuPosd]	qergesekek
qiighw[N][Abs][3SgPoss][SgPosd]	qiighwa
qikmigh[N][Abs][3SgPoss][SgPosd]	qikmii
savig[N][Abs][3DuPoss][DuPosd]	savigegkek
savig[N][Abs][3DuPoss][PlPosd]	savigik
savig[N][Abs][3DuPoss][SgPosd]	savigak
savig[N][Abs][3PlPoss][DuPosd]	savigegket
savig[N][Abs][3PlPoss][PlPosd]	savigit
savig[N][Abs][3PlPoss][SgPosd]	savigat
savig[N][Abs][3SgPoss][DuPosd]	savigkek
savig[N][Abs][3SgPoss][PlPosd]	savigi
savig[N][Abs][3SgPoss][SgPosd]	saviga
sigute[N][Abs][3SgPoss][DuPosd]	sigutkek
sikugh*[N][Abs][3SgPoss][SgPosd]	sikwaa
tukugh[N][Abs][3SgPoss][SgPosd]	tukaa
ulaagh[N][Abs][3SgPoss][SgPosd]	ulaagha
uqugh[N][Abs][3SgPoss][SgPosd]	uqaa
waape[N][Abs][3SgPoss][SgPosd]	waapenga
yughaghte[N][Abs][3SgPoss][SgPosd]	yughaghtenga
