aakagh*[N][Abs][3DuPoss][DuPosd]	aakaagkek
aakagh*[N][Abs][3DuPoss][PlPosd]	aakiik
aakagh*[N][Abs][3DuPoss][SgPosd]	aakaak
aaw[N][Abs][3DuPoss][DuPosd]	aawegkek
aaw[N][Abs][3DuPoss][PlPosd]	aawik
aaw[N][Abs][3DuPoss][SgPosd]	aawak
aghnagh[N][Abs][3DuPoss][DuPosd]	aghnagkek
aghnagh[N][Abs][3DuPoss][PlPosd]	aghniik
aghnagh[N][Abs][3DuPoss][SgPosd]	aghnaak
aghnalqwaagh[N][Abs][3DuPoss][DuPosd]	aghnalqwaaghegkek
aghnalqwaagh[N][Abs][3DuPoss][PlPosd]	aghnalqwaaghik
aghnalqwaagh[N][Abs][3DuPoss][SgPosd]	aghnalqwaaghak
akuutagh[N][Abs][3DuPoss][DuPosd]	akuutagkek
akuutagh[N][Abs][3DuPoss][PlPosd]	akuutiik
akuutagh[N][Abs][3DuPoss][SgPosd]	akuutaak
alangqugh[N][Abs][3DuPoss][DuPosd]	alangqugkek
alangqugh[N][Abs][3DuPoss][PlPosd]	alangqiik
alangqugh[N][Abs][3DuPoss][SgPosd]	alangqaak
anengagh[N][Abs][3DuPoss][DuPosd]	anengagkek
anengagh[N][Abs][3DuPoss][PlPosd]	anengiik
anengagh[N][Abs][3DuPoss][SgPosd]	anengaak
angyagh[N][Abs][3DuPoss][DuPosd]	angyagkek
angyagh[N][Abs][3DuPoss][PlPosd]	angyiik
angyagh[N][Abs][3DuPoss][SgPosd]	angyaak
apeghtughista[N][Abs][3DuPoss][DuPosd]	apeghtughistagkek
apeghtughista[N][Abs][3DuPoss][PlPosd]	apeghtughistangik
apeghtughista[N][Abs][3DuPoss][SgPosd]	apeghtughistangak
asag[N][Abs][3DuPoss][DuPosd]	asagegkek
asag[N][Abs][3DuPoss][PlPosd]	asagik
asag[N][Abs][3DuPoss][SgPosd]	asagak
ata[N][Abs][3DuPoss][DuPosd]	atagkek
ata[N][Abs][3DuPoss][PlPosd]	atangik
ata[N][Abs][3DuPoss][SgPosd]	atangak
ategh[N][Abs][3DuPoss][DuPosd]	aatghegkek
ategh[N][Abs][3DuPoss][PlPosd]	aatghik
ategh[N][Abs][3DuPoss][SgPosd]	aatghak
ggute[N][Abs][3DuPoss][DuPosd]	ggutegkek
ggute[N][Abs][3DuPoss][PlPosd]	gguutik
ggute[N][Abs][3DuPoss][SgPosd]	gguutak
ighaleqetaagh[N][Abs][3DuPoss][DuPosd]	ighaleqetaaghegkek
ighaleqetaagh[N][Abs][3DuPoss][PlPosd]	ighaleqetaaghik
ighaleqetaagh[N][Abs][3DuPoss][SgPosd]	ighaleqetaaghak
ila[N][Abs][3DuPoss][DuPosd]	ilagkek
ila[N][Abs][3DuPoss][PlPosd]	ilangik
ila[N][Abs][3DuPoss][SgPosd]	ilangak
iye[N][Abs][3DuPoss][DuPosd]	iyegkek
iye[N][Abs][3DuPoss][PlPosd]	iiyik
iye[N][Abs][3DuPoss][SgPosd]	iiyak
Karake[N][Abs][3DuPoss][DuPosd]	Karakegkek
Karake[N][Abs][3DuPoss][PlPosd]	Karakik
Karake[N][Abs][3DuPoss][SgPosd]	Karakak
lalala[N][Abs][3DuPoss][DuPosd]	lalalagkek
lalala[N][Abs][3DuPoss][PlPosd]	lalalangik
lalala[N][Abs][3DuPoss][SgPosd]	lalalangak
mesuuna[N][Abs][3DuPoss][DuPosd]	mesuunagkek
mesuuna[N][Abs][3DuPoss][PlPosd]	mesuunangik
mesuuna[N][Abs][3DuPoss][SgPosd]	mesuunangak
naasqugh[N][Abs][3DuPoss][DuPosd]	naasqugkek
naasqugh[N][Abs][3DuPoss][PlPosd]	naasqiik
naasqugh[N][Abs][3DuPoss][SgPosd]	naasqaak
nengyugh*[N][Abs][3DuPoss][DuPosd]	nengyuugkek
nengyugh*[N][Abs][3DuPoss][PlPosd]	nengyiik
nengyugh*[N][Abs][3DuPoss][SgPosd]	nengyaak
nulugh[N][Abs][3DuPoss][DuPosd]	nulugkek
nulugh[N][Abs][3DuPoss][PlPosd]	nuliik
nulugh[N][Abs][3DuPoss][SgPosd]	nulaak
paye[N][Abs][3DuPoss][DuPosd]	payegkek
paye[N][Abs][3DuPoss][PlPosd]	paayik
paye[N][Abs][3DuPoss][SgPosd]	paayak
pengugh[N][Abs][3DuPoss][DuPosd]	pengugkek
pengugh[N][Abs][3DuPoss][PlPosd]	pengiik
pengugh[N][Abs][3DuPoss][SgPosd]	pengaak
qagugh[N][Abs][3DuPoss][DuPosd]	qagugkek
qagugh[N][Abs][3DuPoss][PlPosd]	qagiik
qagugh[N][Abs][3DuPoss][SgPosd]	qagaak
qaye[N][Abs][3DuPoss][DuPosd]	qayegkek
qaye[N][Abs][3DuPoss][PlPosd]	qaayik
qaye[N][Abs][3DuPoss][SgPosd]	qaayak
qayugh[N][Abs][3DuPoss][DuPosd]	qayugkek
qayugh[N][Abs][3DuPoss][PlPosd]	qayiik
qayugh[N][Abs][3DuPoss][SgPosd]	qayaak
qiighw[N][Abs][3DuPoss][DuPosd]	qiighwegkek
qiighw[N][Abs][3DuPoss][PlPosd]	qiighwik
qiighw[N][Abs][3DuPoss][SgPosd]	qiighwak
qikmigh[N][Abs][3DuPoss][DuPosd]	qikmigkek
qikmigh[N][Abs][3DuPoss][PlPosd]	qikmiik
qikmigh[N][Abs][3DuPoss][SgPosd]	qikmiik
savig[N][Abs][3DuPoss][DuPosd]	savigegkek
savig[N][Abs][3DuPoss][PlPosd]	savigik
savig[N][Abs][3DuPoss][SgPosd]	savigak
sigute[N][Abs][3DuPoss][DuPosd]	sigutegkek
sigute[N][Abs][3DuPoss][PlPosd]	sigutik
sigute[N][Abs][3DuPoss][SgPosd]	sigutak
siivanllegh[N][Abs][3DuPoss][DuPosd]	siivanlleghegkek
siivanllegh[N][Abs][3DuPoss][PlPosd]	siivanlleghik
siivanllegh[N][Abs][3DuPoss][SgPosd]	siivanlleghak
sikugh*[N][Abs][3DuPoss][DuPosd]	sikuugkek
sikugh*[N][Abs][3DuPoss][PlPosd]	sikiik
sikugh*[N][Abs][3DuPoss][SgPosd]	sikaak
siqinegh[N][Abs][3DuPoss][DuPosd]	siqinghegkek
siqinegh[N][Abs][3DuPoss][PlPosd]	siqinghik
siqinegh[N][Abs][3DuPoss][SgPosd]	siqinghak
tanqigh[N][Abs][3DuPoss][DuPosd]	tanqigkek
