aakagh*[N][Abs][3DuPoss][DuPosd]	aakaagkek
aakagh*[N][Abs][3DuPoss][PlPosd]	aakiik
aakagh*[N][Abs][3DuPoss][SgPosd]	aakaak
aakagh*[N][Abs][3PlPoss][DuPosd]	aakaagket
aakagh*[N][Abs][3PlPoss][PlPosd]	aakiit
aakagh*[N][Abs][3PlPoss][SgPosd]	aakaat
aakagh*[N][Abs][3SgPoss][DuPosd]	aakaghqek
aakagh*[N][Abs][3SgPoss][PlPosd]	aakii
aakagh*[N][Abs][3SgPoss][SgPosd]	aakaa
aaw[N][Abs][3DuPoss][DuPosd]	aawegkek
aaw[N][Abs][3DuPoss][PlPosd]	aawik
aaw[N][Abs][3DuPoss][SgPosd]	aawak
aaw[N][Abs][3PlPoss][DuPosd]	aawegket
aaw[N][Abs][3PlPoss][PlPosd]	aawit
aaw[N][Abs][3PlPoss][SgPosd]	aawat
aaw[N][Abs][3SgPoss][DuPosd]	aawkek
aaw[N][Abs][3SgPoss][PlPosd]	aawi
aaw[N][Abs][3SgPoss][SgPosd]	aawa
aghnagh[N][Abs][3DuPoss][DuPosd]	aghnagkek
aghnagh[N][Abs][3DuPoss][PlPosd]	aghniik
aghnagh[N][Abs][3DuPoss][SgPosd]	aghnaak
aghnagh[N][Abs][3PlPoss][DuPosd]	aghnagket
aghnagh[N][Abs][3PlPoss][PlPosd]	aghniit
aghnagh[N][Abs][3PlPoss][SgPosd]	aghnaat
aghnagh[N][Abs][3SgPoss][DuPosd]	aghnakek
aghnagh[N][Abs][3SgPoss][PlPosd]	aghnii
aghnagh[N][Abs][3SgPoss][SgPosd]	aghnaa
aghnalqwaagh[N][Abs][3DuPoss][DuPosd]	aghnalqwaaghegkek
aghnalqwaagh[N][Abs][3DuPoss][PlPosd]	aghnalqwaaghik
aghnalqwaagh[N][Abs][3DuPoss][SgPosd]	aghnalqwaaghak
aghnalqwaagh[N][Abs][3PlPoss][DuPosd]	aghnalqwaaghegket
aghnalqwaagh[N][Abs][3PlPoss][PlPosd]	aghnalqwaaghit
aghnalqwaagh[N][Abs][3PlPoss][SgPosd]	aghnalqwaaghat
aghnalqwaagh[N][Abs][3SgPoss][DuPosd]	aghnalqwaaghqek
aghnalqwaagh[N][Abs][3SgPoss][PlPosd]	aghnalqwaaghi
aghnalqwaagh[N][Abs][3SgPoss][SgPosd]	aghnalqwaagha
akuutagh[N][Abs][3DuPoss][DuPosd]	akuutagkek
akuutagh[N][Abs][3DuPoss][PlPosd]	akuutiik
akuutagh[N][Abs][3DuPoss][SgPosd]	akuutaak
akuutagh[N][Abs][3PlPoss][DuPosd]	akuutagket
akuutagh[N][Abs][3PlPoss][PlPosd]	akuutiit
akuutagh[N][Abs][3PlPoss][SgPosd]	akuutaat
akuutagh[N][Abs][3SgPoss][DuPosd]	akuutakek
akuutagh[N][Abs][3SgPoss][PlPosd]	akuutii
akuutagh[N][Abs][3SgPoss][SgPosd]	akuutaa
alangqugh[N][Abs][3DuPoss][DuPosd]	alangqugkek
alangqugh[N][Abs][3DuPoss][PlPosd]	alangqwiik
alangqugh[N][Abs][3DuPoss][SgPosd]	alangqwaak
alangqugh[N][Abs][3PlPoss][DuPosd]	alangqugket
alangqugh[N][Abs][3PlPoss][PlPosd]	alangqwiit
alangqugh[N][Abs][3PlPoss][SgPosd]	alangqwaat
alangqugh[N][Abs][3SgPoss][DuPosd]	alangqukek
alangqugh[N][Abs][3SgPoss][PlPosd]	alangqwii
alangqugh[N][Abs][3SgPoss][SgPosd]	alangqwaa
anengagh[N][Abs][3DuPoss][DuPosd]	anengagkek
anengagh[N][Abs][3DuPoss][PlPosd]	anengiik
anengagh[N][Abs][3DuPoss][SgPosd]	anengaak
anengagh[N][Abs][3PlPoss][DuPosd]	anengagket
anengagh[N][Abs][3PlPoss][PlPosd]	anengiit
anengagh[N][Abs][3PlPoss][SgPosd]	anengaat
anengagh[N][Abs][3SgPoss][DuPosd]	anengakek
anengagh[N][Abs][3SgPoss][PlPosd]	anengii
anengagh[N][Abs][3SgPoss][SgPosd]	anengaa
angyagh[N][Abs][3DuPoss][DuPosd]	angyagkek
angyagh[N][Abs][3DuPoss][PlPosd]	angyiik
angyagh[N][Abs][3DuPoss][SgPosd]	angyaak
angyagh[N][Abs][3PlPoss][DuPosd]	angyagket
angyagh[N][Abs][3PlPoss][PlPosd]	angyiit
angyagh[N][Abs][3PlPoss][SgPosd]	angyaat
angyagh[N][Abs][3SgPoss][DuPosd]	angyakek
angyagh[N][Abs][3SgPoss][PlPosd]	angyii
angyagh[N][Abs][3SgPoss][SgPosd]	angyaa
apeghtughiste[N][Abs][3DuPoss][DuPosd]	apeghtughistegkek
apeghtughiste[N][Abs][3DuPoss][PlPosd]	apeghtughistengik
apeghtughiste[N][Abs][3DuPoss][SgPosd]	apeghtughistengak
apeghtughiste[N][Abs][3PlPoss][DuPosd]	apeghtughistegket
apeghtughiste[N][Abs][3PlPoss][PlPosd]	apeghtughistengit
apeghtughiste[N][Abs][3PlPoss][SgPosd]	apeghtughistengat
apeghtughiste[N][Abs][3SgPoss][DuPosd]	apeghtughistekek
apeghtughiste[N][Abs][3SgPoss][PlPosd]	apeghtughistengi
apeghtughiste[N][Abs][3SgPoss][SgPosd]	apeghtughistenga
asag[N][Abs][3DuPoss][DuPosd]	asagegkek
asag[N][Abs][3DuPoss][PlPosd]	asagik
asag[N][Abs][3DuPoss][SgPosd]	asagak
asag[N][Abs][3PlPoss][DuPosd]	asagegket
asag[N][Abs][3PlPoss][PlPosd]	asagit
asag[N][Abs][3PlPoss][SgPosd]	asagat
asag[N][Abs][3SgPoss][DuPosd]	asagkek
asag[N][Abs][3SgPoss][PlPosd]	asagi
asag[N][Abs][3SgPoss][SgPosd]	asaga
ata[N][Abs][3DuPoss][DuPosd]	atagkek
ata[N][Abs][3DuPoss][PlPosd]	atangik
ata[N][Abs][3DuPoss][SgPosd]	atangak
ata[N][Abs][3PlPoss][DuPosd]	atagket
ata[N][Abs][3PlPoss][PlPosd]	atangit
ata[N][Abs][3PlPoss][SgPosd]	atangat
ata[N][Abs][3SgPoss][DuPosd]	atakek
ata[N][Abs][3SgPoss][PlPosd]	atangi
ata[N][Abs][3SgPoss][SgPosd]	atanga
ategh[N][Abs][3DuPoss][DuPosd]	aatghegkek
ategh[N][Abs][3DuPoss][PlPosd]	aatghik
ategh[N][Abs][3DuPoss][SgPosd]	aatghak
