aakagh*[N][Abs][3SgPoss][DuPosd]	aakaghqek
aakagh*[N][Abs][3SgPoss][PlPosd]	aakii
aakagh*[N][Abs][3SgPoss][SgPosd]	aakaa
aaw[N][Abs][3SgPoss][DuPosd]	aawkek
aaw[N][Abs][3SgPoss][PlPosd]	aawi
aaw[N][Abs][3SgPoss][SgPosd]	aawa
aghnagh[N][Abs][3SgPoss][DuPosd]	aghnakek
aghnagh[N][Abs][3SgPoss][PlPosd]	aghnii
aghnagh[N][Abs][3SgPoss][SgPosd]	aghnaa
aghnalqwaagh[N][Abs][3SgPoss][DuPosd]	aghnalqwaaghqek
aghnalqwaagh[N][Abs][3SgPoss][PlPosd]	aghnalqwaaghi
aghnalqwaagh[N][Abs][3SgPoss][SgPosd]	aghnalqwaagha
akuutagh[N][Abs][3SgPoss][DuPosd]	akuutakek
akuutagh[N][Abs][3SgPoss][PlPosd]	akuutii
akuutagh[N][Abs][3SgPoss][SgPosd]	akuutaa
alangqugh[N][Abs][3SgPoss][DuPosd]	alangqukek
alangqugh[N][Abs][3SgPoss][PlPosd]	alangqwii
alangqugh[N][Abs][3SgPoss][SgPosd]	alangqwaa
anengagh[N][Abs][3SgPoss][DuPosd]	anengakek
anengagh[N][Abs][3SgPoss][PlPosd]	anengii
anengagh[N][Abs][3SgPoss][SgPosd]	anengaa
angyagh[N][Abs][3SgPoss][DuPosd]	angyakek
angyagh[N][Abs][3SgPoss][PlPosd]	angyii
angyagh[N][Abs][3SgPoss][SgPosd]	angyaa
apeghtughista[N][Abs][3SgPoss][DuPosd]	apeghtughistakek
apeghtughista[N][Abs][3SgPoss][PlPosd]	apeghtughistangi
apeghtughista[N][Abs][3SgPoss][SgPosd]	apeghtughistanga
asag[N][Abs][3SgPoss][DuPosd]	asagkek
asag[N][Abs][3SgPoss][PlPosd]	asagi
asag[N][Abs][3SgPoss][SgPosd]	asaga
ata[N][Abs][3SgPoss][DuPosd]	atakek
ata[N][Abs][3SgPoss][PlPosd]	atangi
ata[N][Abs][3SgPoss][SgPosd]	atanga
ategh[N][Abs][3SgPoss][DuPosd]	ateghqek
ategh[N][Abs][3SgPoss][PlPosd]	aatghi
ategh[N][Abs][3SgPoss][SgPosd]	aatgha
ggute[N][Abs][3SgPoss][DuPosd]	gguutkek
ggute[N][Abs][3SgPoss][PlPosd]	ggutengi
ggute[N][Abs][3SgPoss][SgPosd]	ggutenga
ighaleqetaagh[N][Abs][3SgPoss][DuPosd]	ighaleqetaaghqek
ighaleqetaagh[N][Abs][3SgPoss][PlPosd]	ighaleqetaaghi
