aakagh*[N][Rel][Unpd][Du]	aakaak
aakagh*[N][Rel][Unpd][Pl]	aakaat
aakagh*[N][Rel][Unpd][Sg]	aakaam
aaw[N][Rel][Unpd][Du]	aawek
aaw[N][Rel][Unpd][Pl]	aawet
aaw[N][Rel][Unpd][Sg]	aawem
aghnagh[N][Rel][Unpd][Du]	aghnak
aghnagh[N][Rel][Unpd][Pl]	aghnat
aghnagh[N][Rel][Unpd][Sg]	aghnam
aghnalqwaagh[N][Rel][Unpd][Du]	aghnalqwaaghek
aghnalqwaagh[N][Rel][Unpd][Pl]	aghnalqwaaghet
aghnalqwaagh[N][Rel][Unpd][Sg]	aghnalqwaaghem
akuutagh[N][Rel][Unpd][Du]	akuutak
akuutagh[N][Rel][Unpd][Pl]	akuutat
akuutagh[N][Rel][Unpd][Sg]	akuutam
alangqugh[N][Rel][Unpd][Du]	alangquk
alangqugh[N][Rel][Unpd][Pl]	alangqut
alangqugh[N][Rel][Unpd][Sg]	alangqum
anengagh[N][Rel][Unpd][Du]	anengak
anengagh[N][Rel][Unpd][Pl]	anengat
anengagh[N][Rel][Unpd][Sg]	anengam
angyagh[N][Rel][Unpd][Du]	angyak
angyagh[N][Rel][Unpd][Pl]	angyat
angyagh[N][Rel][Unpd][Sg]	angyam
apeghtughiste[N][Rel][Unpd][Du]	apeghtughistek
apeghtughiste[N][Rel][Unpd][Pl]	apeghtughistet
apeghtughiste[N][Rel][Unpd][Sg]	apeghtughistem
asag[N][Rel][Unpd][Du]	asagek
asag[N][Rel][Unpd][Pl]	asaget
asag[N][Rel][Unpd][Sg]	asagem
ata[N][Rel][Unpd][Du]	atak
ata[N][Rel][Unpd][Pl]	atat
ata[N][Rel][Unpd][Sg]	atam
ategh[N][Rel][Unpd][Du]	aatghek
ategh[N][Rel][Unpd][Pl]	aatghet
ategh[N][Rel][Unpd][Sg]	aatghem
ggute[N][Rel][Unpd][Du]	ggutek
ggute[N][Rel][Unpd][Pl]	ggutet
ggute[N][Rel][Unpd][Sg]	ggutem
ighaleqetaagh[N][Rel][Unpd][Du]	ighaleqetaaghek
ighaleqetaagh[N][Rel][Unpd][Pl]	ighaleqetaaghet
ighaleqetaagh[N][Rel][Unpd][Sg]	ighaleqetaaghem
ila[N][Rel][Unpd][Du]	ilak
ila[N][Rel][Unpd][Pl]	ilat
ila[N][Rel][Unpd][Sg]	ilam
iye[N][Rel][Unpd][Du]	iyek
iye[N][Rel][Unpd][Pl]	iyet
iye[N][Rel][Unpd][Sg]	iyem
Karake[N][Rel][Unpd][Du]	karakek
Karake[N][Rel][Unpd][Pl]	karaket
Karake[N][Rel][Unpd][Sg]	karakem
lalala[N][Rel][Unpd][Du]	lalalak
lalala[N][Rel][Unpd][Pl]	lalalat
lalala[N][Rel][Unpd][Sg]	lalalam
mesuuna[N][Rel][Unpd][Du]	mesuunak
mesuuna[N][Rel][Unpd][Pl]	mesuunat
mesuuna[N][Rel][Unpd][Sg]	mesuunam
naasqugh[N][Rel][Unpd][Du]	naasquk
naasqugh[N][Rel][Unpd][Pl]	naasqut
naasqugh[N][Rel][Unpd][Sg]	naasqum
nengyugh*[N][Rel][Unpd][Du]	nengyuuk
nengyugh*[N][Rel][Unpd][Pl]	nengyuut
nengyugh*[N][Rel][Unpd][Sg]	nengyuum
nulugh[N][Rel][Unpd][Du]	nuluk
nulugh[N][Rel][Unpd][Pl]	nulut
nulugh[N][Rel][Unpd][Sg]	nulum
paye[N][Rel][Unpd][Du]	payek
paye[N][Rel][Unpd][Pl]	payet
paye[N][Rel][Unpd][Sg]	payem
pengugh[N][Rel][Unpd][Du]	penguk
pengugh[N][Rel][Unpd][Pl]	pengut
pengugh[N][Rel][Unpd][Sg]	pengum
qagugh[N][Rel][Unpd][Du]	qaguk
qagugh[N][Rel][Unpd][Pl]	qagut
qagugh[N][Rel][Unpd][Sg]	qagum
qaye[N][Rel][Unpd][Du]	qayek
qaye[N][Rel][Unpd][Pl]	qayet
qaye[N][Rel][Unpd][Sg]	qayem
qayugh[N][Rel][Unpd][Du]	qayuk
qayugh[N][Rel][Unpd][Pl]	qayut
qayugh[N][Rel][Unpd][Sg]	qayum
qiighw[N][Rel][Unpd][Du]	qiighwek
qiighw[N][Rel][Unpd][Pl]	qiighwet
qiighw[N][Rel][Unpd][Sg]	qiighwem
qikmigh[N][Rel][Unpd][Du]	qikmik
qikmigh[N][Rel][Unpd][Pl]	qikmit
qikmigh[N][Rel][Unpd][Sg]	qikmim
savig[N][Rel][Unpd][Du]	savigek
savig[N][Rel][Unpd][Pl]	saviget
savig[N][Rel][Unpd][Sg]	savigem
sigute[N][Rel][Unpd][Du]	sigutek
sigute[N][Rel][Unpd][Pl]	sigutet
sigute[N][Rel][Unpd][Sg]	sigutem
siivanllegh[N][Rel][Unpd][Du]	siivanlleghek
siivanllegh[N][Rel][Unpd][Pl]	siivanlleghet
siivanllegh[N][Rel][Unpd][Sg]	siivanlleghem
sikugh*[N][Rel][Unpd][Du]	sikuuk
sikugh*[N][Rel][Unpd][Pl]	sikuut
sikugh*[N][Rel][Unpd][Sg]	sikuum
siqinegh[N][Rel][Unpd][Du]	siqinghek
siqinegh[N][Rel][Unpd][Pl]	siqinghet
siqinegh[N][Rel][Unpd][Sg]	siqinghem
tanqigh[N][Rel][Unpd][Du]	tanqik
tanqigh[N][Rel][Unpd][Pl]	tanqit
tanqigh[N][Rel][Unpd][Sg]	tanqim
teghikusagh[N][Rel][Unpd][Du]	teghikusak
teghikusagh[N][Rel][Unpd][Pl]	teghikusat
teghikusagh[N][Rel][Unpd][Sg]	teghikusam
tengegkayug[N][Rel][Unpd][Du]	tengegkayugek
tengegkayug[N][Rel][Unpd][Pl]	tengegkayuget
tengegkayug[N][Rel][Unpd][Sg]	tengegkayugem
tukugh*[N][Rel][Unpd][Du]	tukuuk
tukugh*[N][Rel][Unpd][Pl]	tukuut
tukugh*[N][Rel][Unpd][Sg]	tukuum
ulaagh[N][Rel][Unpd][Du]	ulaaghek
ulaagh[N][Rel][Unpd][Pl]	ulaaghet
ulaagh[N][Rel][Unpd][Sg]	ulaaghem
ungipaghagh[N][Rel][Unpd][Du]	ungipaghak
ungipaghagh[N][Rel][Unpd][Pl]	ungipaghat
ungipaghagh[N][Rel][Unpd][Sg]	ungipagham
uqugh[N][Rel][Unpd][Du]	uquk
uqugh[N][Rel][Unpd][Pl]	uqut
uqugh[N][Rel][Unpd][Sg]	uqum
uyaqugh[N][Rel][Unpd][Du]	uyaquk
uyaqugh[N][Rel][Unpd][Pl]	uyaqut
uyaqugh[N][Rel][Unpd][Sg]	uyaqum
walguyaag[N][Rel][Unpd][Du]	walguyaagek
walguyaag[N][Rel][Unpd][Pl]	walguyaaget
walguyaag[N][Rel][Unpd][Sg]	walguyaagem
yughaghte[N][Rel][Unpd][Du]	yughaghtek
yughaghte[N][Rel][Unpd][Pl]	yughaghtet
yughaghte[N][Rel][Unpd][Sg]	yughaghtem
