aakagh*[N][Rel][1SgPoss][SgPosd]	aakaghma
aange-@₁–nghite**[V→V][V][Intr][Ind][3Sg]	aangenghituq
aghulaqe[V][Intr][Ind][3Sg]	aghulaquq
akuzi-~(g₁)aqe[V→V][V][Intr][Ind][3Pl]	akuziiqut
angyagh[N][Abl_Mod][1SgPoss][SgPosd]	angyamneng
angyagh[N][Abl_Mod][2SgPoss][SgPosd]	angyaghpeneng
angyagh[N][Abl_Mod][3SgPoss][SgPosd]	angyaaneng
angyagh[N][Equ][1SgPoss][SgPosd]	angyamtun
angyagh[N][Equ][2SgPoss][SgPosd]	angyaghpetun
angyagh[N][Equ][3SgPoss][SgPosd]	angyaatun
angyagh[N][Loc][1SgPoss][SgPosd]	angyamni
angyagh[N][Loc][2SgPoss][SgPosd]	angyaghpeni
angyagh[N][Loc][3SgPoss][SgPosd]	angyaani
angyagh[N][Ter][1SgPoss][SgPosd]	angyamnun
angyagh[N][Ter][2SgPoss][SgPosd]	angyaghpenun
angyagh[N][Ter][3SgPoss][SgPosd]	angyaanun
angyagh[N][Via][1SgPoss][SgPosd]	angyamkun
angyagh[N][Via][2SgPoss][SgPosd]	angyaghpekun
angyagh[N][Via][3SgPoss][SgPosd]	angyaakun
angyagh-–squghhagh*[N→N]-–lgu[N→V]-@₁–nghite**[V→V][V][Intr][Ind][1Du]	angyasqughhalgunghitukung
angyagh-–squghhagh*[N→N][N][Abs][Unpd][Sg]	angyasqughhaq
angyagh-–squgh[N→N][N][Abs][Unpd][Sg]	angyasquq
eflugagh[N][Abs][Unpd][Sg]	eflugaq
esghagh[V][Trns][Ind][3Sg][3Sg]	esghaghaa
igamsiqanagh-~sf–ghhalek[how.V][V→XCLM]	igamsiqanaghhalek
ighnegh[N][Rel][3SgPoss][SgPosd]	ighneghan
ila[N][Abs][3PlPoss][PlPosd]	ilangit
ila[N][Equ][2PlPoss][PlPosd]	ilagpesistun
inghu[V][Trns][Ind][3Sg][3Pl]	inghwii
kaate-@₁–nghite**[V→V][V][Intr][Ind][3Sg]	kaanneghituq
kuuve-@₁–nghite**[V→V][V][Intr][Ind][3Sg]	kuuvenghituq
kuuve[V][Trns][Ind][1Sg][3Sg]	kuuvaqa
laalighte-@₁–nghite**[V→V][V][Intr][Ind][3Sg]	laalighhneghituq
mangteghagh-–ghrugllag[N→N]-–ngllagh[N→V]-@₁~fyug[V→V]-@₁–nghite**[V→V][V][Intr][Ind][1Sg]	mangteghaghrugllangllaghyunghitunga
mangteghagh-–ngllagh[N→V][V][Intr][Ind][3Sg]	mangteghangllaghtuq
nuna[N][Loc][1PlPoss][SgPosd]	nunamnni
piniqe[V][Trns][Ind][1Sg][3Sg]	piniqaqa
qavagh-@₁–nghite**[V→V][V][Intr][Ind][3Sg]	qavanghituq
qikmigh[N][Rel][1SgPoss][SgPosd]	qikmima
qiya-@₁–nghite**[V→V][V][Intr][Ind][3Sg]	qiyanghituq
seghlegh-~sf–ghhalek[how.N][N→XCLM]	seghleghhalek
Sivungagh*-mii[N→N][N][Abs][Unpd][Sg]	sivungaghmii
taghnughhagh*[N][Rel][1PlPoss][PlPosd]	taghnughhamta
tengegkayug[N][Via][3SgPoss][SgPosd]	tengegkayugakun
tuqute[V][Trns][Ind][3Sg][3Pl]	tuqutii
umeg[V][Trns][Ind][3Sg][3Sg]	uumgaa
Ungazigh-mii[N→N][N][Abs][Unpd][Sg]	ungazighmii
yughaghte[N][Rel][Unpd][Sg]	yughaghtem
