aakagh*[N][Loc][1SgPoss][SgPosd]	aakaghmni
aakagh*[N][Loc][2SgPoss][SgPosd]	aakaghgpeni
aakagh*[N][Loc][3SgPoss][SgPosd]	aakaani
amig[N][Loc][1SgPoss][SgPosd]	amimni
amig[N][Loc][2SgPoss][SgPosd]	amigpeni
amig[N][Loc][3SgPoss][SgPosd]	amigani
angyagh[N][Loc][1SgPoss][SgPosd]	angyamni
angyagh[N][Loc][2SgPoss][SgPosd]	angyaghpeni
angyagh[N][Loc][3SgPoss][SgPosd]	angyaani
aveg[N][Loc][1SgPoss][SgPosd]	avemni
aveg[N][Loc][2SgPoss][SgPosd]	avegpeni
aveg[N][Loc][3SgPoss][SgPosd]	aavgani
eflugagh[N][Loc][1SgPoss][SgPosd]	eflugamni
eflugagh[N][Loc][2SgPoss][SgPosd]	eflugaghpeni
eflugagh[N][Loc][3SgPoss][SgPosd]	eflugaani
efluge[N][Loc][1SgPoss][SgPosd]	eflugemni
efluge[N][Loc][2SgPoss][SgPosd]	eflugegpeni
efluge[N][Loc][3SgPoss][SgPosd]	eflugeani
egllu[N][Loc][1SgPoss][SgPosd]	egllumni
egllu[N][Loc][2SgPoss][SgPosd]	egllugpeni
egllu[N][Loc][3SgPoss][SgPosd]	egllaani
ighnegh[N][Loc][1SgPoss][SgPosd]	ighnemni
ighnegh[N][Loc][2SgPoss][SgPosd]	ighneghpeni
ighnegh[N][Loc][3SgPoss][SgPosd]	ighneghani
kemekrag[N][Loc][1SgPoss][SgPosd]	kemekramni
kemekrag[N][Loc][2SgPoss][SgPosd]	kemekragpeni
kemekrag[N][Loc][3SgPoss][SgPosd]	kemekragani
qergese[N][Loc][1SgPoss][SgPosd]	qergesemni
qergese[N][Loc][2SgPoss][SgPosd]	qergesegpeni
qergese[N][Loc][3SgPoss][SgPosd]	qergeseani
qikmigh[N][Loc][1SgPoss][SgPosd]	qikmimni
qikmigh[N][Loc][2SgPoss][SgPosd]	qikmighpeni
qikmigh[N][Loc][3SgPoss][SgPosd]	qikmiini
tipele[N][Loc][1SgPoss][SgPosd]	tipelemni
tipele[N][Loc][2SgPoss][SgPosd]	tipelegpeni
tipele[N][Loc][3SgPoss][SgPosd]	tipeleani
