aakagh*[N][Rel][1PlPoss][SgPosd]	aakamta
aakagh*[N][Rel][1SgPoss][SgPosd]	aakaghma
aakagh*[N][Rel][2PlPoss][SgPosd]	aakaghpesi
aakagh*[N][Rel][2SgPoss][SgPosd]	aakaghpek
aveg[N][Rel][1PlPoss][SgPosd]	avemta
aveg[N][Rel][1SgPoss][SgPosd]	avegma
aveg[N][Rel][2PlPoss][SgPosd]	avegpesi
aveg[N][Rel][2SgPoss][SgPosd]	avegpek
aveg[N][Rel][3PlPoss][SgPosd]	aavgita
aveg[N][Rel][3SgPoss][SgPosd]	aavgan
eflugagh[N][Rel][1PlPoss][SgPosd]	eflugamta
eflugagh[N][Rel][1SgPoss][SgPosd]	eflugama
eflugagh[N][Rel][2PlPoss][SgPosd]	eflugaghpesi
eflugagh[N][Rel][2SgPoss][SgPosd]	eflugaghpek
eflugagh[N][Rel][3PlPoss][SgPosd]	eflugiita
eflugagh[N][Rel][3SgPoss][SgPosd]	eflugaan
efluge[N][Rel][1PlPoss][SgPosd]	eflugemta
efluge[N][Rel][1SgPoss][SgPosd]	eflugma
efluge[N][Rel][2PlPoss][SgPosd]	eflugegpesi
efluge[N][Rel][2SgPoss][SgPosd]	eflugegpek
efluge[N][Rel][3PlPoss][SgPosd]	eflugngita
efluge[N][Rel][3SgPoss][SgPosd]	eflugngan
egllu[N][Rel][1PlPoss][SgPosd]	egllumta
egllu[N][Rel][1SgPoss][SgPosd]	eglluma
egllu[N][Rel][2PlPoss][SgPosd]	egllugpesi
egllu[N][Rel][2SgPoss][SgPosd]	egllugpek
egllu[N][Rel][3PlPoss][SgPosd]	egllungita
egllu[N][Rel][3SgPoss][SgPosd]	egllungan
ighnegh[N][Rel][1PlPoss][SgPosd]	ighnemta
ighnegh[N][Rel][1SgPoss][SgPosd]	ighneghma
ighnegh[N][Rel][2PlPoss][SgPosd]	ighneghpesi
ighnegh[N][Rel][2SgPoss][SgPosd]	ighneghpek
ighnegh[N][Rel][3PlPoss][SgPosd]	ighneghita
ighnegh[N][Rel][3SgPoss][SgPosd]	ighneghan
kemekrag[N][Rel][1PlPoss][SgPosd]	kemekramta
kemekrag[N][Rel][1SgPoss][SgPosd]	kemekragma
kemekrag[N][Rel][2PlPoss][SgPosd]	kemekragpesi
kemekrag[N][Rel][2SgPoss][SgPosd]	kemekragpek
kemekrag[N][Rel][3PlPoss][SgPosd]	kemekragita
kemekrag[N][Rel][3SgPoss][SgPosd]	kemekragan
qergese[N][Rel][1PlPoss][SgPosd]	qergesemta
qergese[N][Rel][1SgPoss][SgPosd]	qergesma
qergese[N][Rel][2PlPoss][SgPosd]	qergesegpesi
qergese[N][Rel][2SgPoss][SgPosd]	qergesegpek
qergese[N][Rel][3PlPoss][SgPosd]	qergesngita
qergese[N][Rel][3SgPoss][SgPosd]	qergesngan
qikmigh[N][Rel][1PlPoss][SgPosd]	qikmimta
qikmigh[N][Rel][1SgPoss][SgPosd]	qikmima
qikmigh[N][Rel][2PlPoss][SgPosd]	qikmighpesi
qikmigh[N][Rel][2SgPoss][SgPosd]	qikmighpek
qikmigh[N][Rel][3PlPoss][SgPosd]	qikmiita
qikmigh[N][Rel][3SgPoss][SgPosd]	qikmiin
