aakagh*[N][Ter][1SgPoss][SgPosd]	aakaghmnun
aakagh*[N][Ter][2SgPoss][SgPosd]	aakaghgpenun
aakagh*[N][Ter][3SgPoss][SgPosd]	aakaanun
amig[N][Ter][1SgPoss][SgPosd]	amimnun
amig[N][Ter][2SgPoss][SgPosd]	amigpenun
amig[N][Ter][3SgPoss][SgPosd]	amiganun
angyagh[N][Ter][1SgPoss][SgPosd]	angyamnun
angyagh[N][Ter][2SgPoss][SgPosd]	angyaghpenun
angyagh[N][Ter][3SgPoss][SgPosd]	angyaanun
aveg[N][Ter][1SgPoss][SgPosd]	avemnun
aveg[N][Ter][2SgPoss][SgPosd]	avegpenun
aveg[N][Ter][3SgPoss][SgPosd]	aavganun
eflugagh[N][Ter][1SgPoss][SgPosd]	eflugamnun
eflugagh[N][Ter][2SgPoss][SgPosd]	eflugaghpenun
eflugagh[N][Ter][3SgPoss][SgPosd]	eflugaanun
efluge[N][Ter][1SgPoss][SgPosd]	eflugemnun
efluge[N][Ter][2SgPoss][SgPosd]	eflugegpenun
efluge[N][Ter][3SgPoss][SgPosd]	eflugeanun
egllu[N][Ter][1SgPoss][SgPosd]	egllumnun
egllu[N][Ter][2SgPoss][SgPosd]	egllugpenun
egllu[N][Ter][3SgPoss][SgPosd]	egllaanun
ighnegh[N][Ter][1SgPoss][SgPosd]	ighnemnun
ighnegh[N][Ter][2SgPoss][SgPosd]	ighneghpenun
ighnegh[N][Ter][3SgPoss][SgPosd]	ighneghanun
kemekrag[N][Ter][1SgPoss][SgPosd]	kemekramnun
kemekrag[N][Ter][2SgPoss][SgPosd]	kemekragpenun
kemekrag[N][Ter][3SgPoss][SgPosd]	kemekraganun
qergese[N][Ter][1SgPoss][SgPosd]	qergesemnun
qergese[N][Ter][2SgPoss][SgPosd]	qergesegpenun
qergese[N][Ter][3SgPoss][SgPosd]	qergeseanun
qikmigh[N][Ter][1SgPoss][SgPosd]	qikmimnun
qikmigh[N][Ter][2SgPoss][SgPosd]	qikmighpenun
qikmigh[N][Ter][3SgPoss][SgPosd]	qikmiinun
tipele[N][Ter][1SgPoss][SgPosd]	tipelemnun
tipele[N][Ter][2SgPoss][SgPosd]	tipelegpenun
tipele[N][Ter][3SgPoss][SgPosd]	tipeleanun
