aakagh*[N][Via][1SgPoss][SgPosd]	aakaghmkun
aakagh*[N][Via][2SgPoss][SgPosd]	aakaghgpekun
aakagh*[N][Via][3SgPoss][SgPosd]	aakaakun
amig[N][Via][1SgPoss][SgPosd]	amimkun
amig[N][Via][2SgPoss][SgPosd]	amigpekun
amig[N][Via][3SgPoss][SgPosd]	amigakun
angyagh[N][Via][1SgPoss][SgPosd]	angyamkun
angyagh[N][Via][2SgPoss][SgPosd]	angyaghpekun
angyagh[N][Via][3SgPoss][SgPosd]	angyaakun
aveg[N][Via][1SgPoss][SgPosd]	avemkun
aveg[N][Via][2SgPoss][SgPosd]	avegpekun
aveg[N][Via][3SgPoss][SgPosd]	aavgakun
eflugagh[N][Via][1SgPoss][SgPosd]	eflugamkun
eflugagh[N][Via][2SgPoss][SgPosd]	eflugaghpekun
eflugagh[N][Via][3SgPoss][SgPosd]	eflugaakun
efluge[N][Via][1SgPoss][SgPosd]	eflugemkun
efluge[N][Via][2SgPoss][SgPosd]	eflugegpekun
efluge[N][Via][3SgPoss][SgPosd]	eflugeakun
egllu[N][Via][1SgPoss][SgPosd]	egllumkun
egllu[N][Via][2SgPoss][SgPosd]	egllugpekun
egllu[N][Via][3SgPoss][SgPosd]	egllaakun
ighnegh[N][Via][1SgPoss][SgPosd]	ighnemkun
ighnegh[N][Via][2SgPoss][SgPosd]	ighneghpekun
ighnegh[N][Via][3SgPoss][SgPosd]	ighneghakun
kemekrag[N][Via][1SgPoss][SgPosd]	kemekramkun
kemekrag[N][Via][2SgPoss][SgPosd]	kemekragpekun
kemekrag[N][Via][3SgPoss][SgPosd]	kemekragakun
qergese[N][Via][1SgPoss][SgPosd]	qergesemkun
qergese[N][Via][2SgPoss][SgPosd]	qergesegpekun
qergese[N][Via][3SgPoss][SgPosd]	qergeseakun
qikmigh[N][Via][1SgPoss][SgPosd]	qikmimkun
qikmigh[N][Via][2SgPoss][SgPosd]	qikmighpekun
qikmigh[N][Via][3SgPoss][SgPosd]	qikmiikun
tipele[N][Via][1SgPoss][SgPosd]	tipelemkun
tipele[N][Via][2SgPoss][SgPosd]	tipelegpekun
tipele[N][Via][3SgPoss][SgPosd]	tipeleakun
