aghvigh[V][Intr][Intrg][3Du]	aghvightak
aghvigh[V][Intr][Intrg][3Pl]	aghvightat
aghvigh[V][Intr][Intrg][3Sg]	aghvighta
aleghquute[V][Intr][Intrg][3Du]	aleghquutak
aleghquute[V][Intr][Intrg][3Pl]	aleghquutat
aleghquute[V][Intr][Intrg][3Sg]	aleghquuta
aqlaghate*[V][Intr][Intrg][3Du]	aqlaghatak
aqlaghate*[V][Intr][Intrg][3Pl]	aqlaghatat
aqlaghate*[V][Intr][Intrg][3Sg]	aqlaghata
atightugh[V][Intr][Intrg][3Du]	atightughtak
atightugh[V][Intr][Intrg][3Pl]	atightughtat
atightugh[V][Intr][Intrg][3Sg]	atightughta
igagh[V][Intr][Intrg][3Du]	igaghtak
igagh[V][Intr][Intrg][3Pl]	igaghtat
igagh[V][Intr][Intrg][3Sg]	igaghta
iknaqe[V][Intr][Intrg][3Du]	iknaqak
iknaqe[V][Intr][Intrg][3Pl]	iknaqat
iknaqe[V][Intr][Intrg][3Sg]	iknaqa
isekinagh[V][Intr][Intrg][3Du]	isekinaghtak
isekinagh[V][Intr][Intrg][3Pl]	isekinaghtat
isekinagh[V][Intr][Intrg][3Sg]	isekinaghta
pinighsagh[V][Intr][Intrg][3Du]	pinighsaghtak
pinighsagh[V][Intr][Intrg][3Pl]	pinighsaghtat
pinighsagh[V][Intr][Intrg][3Sg]	pinighsaghta
uglagh[V][Intr][Intrg][3Du]	uglaghtak
uglagh[V][Intr][Intrg][3Pl]	uglaghtat
uglagh[V][Intr][Intrg][3Sg]	uglaghta
ulima[V][Intr][Intrg][3Du]	ulimaak
ulima[V][Intr][Intrg][3Pl]	ulimaat
ulima[V][Intr][Intrg][3Sg]	ulimaa
