aghvegh-–liigh[N→V]-~sf:(e)sqe[Cmpd_Vbl][V][Trns][Ind][3Sg][3Sg]	aghveliighesqaa
amaa-~sf-w:(e)nkut[N→N][N][Abs][Unpd][Sg]-llu[Encl]	amaankutlu
itegh-~sf:(e)sqe[Cmpd_Vbl][V][Trns][Ind][3Sg][3Sg]	iitghesqaa
kenigh-~sf:(e)sqe[Cmpd_Vbl][V][Trns][Ind][3Sg][3Sg]	keniisqaa
Kiyaghnegh-~sf-w:(e)nkuk[N→N][N][Abs][Unpd][Sg]	kiyaghneghenkuk
laalighte-~sf:(e)sqe[Cmpd_Vbl][V][Trns][Ind][3Sg][3Sg]	laalightesqaa
mayeraaghpag-~sf-w:(e)nkuk[N→N][N][Abs][Unpd][Sg]-llu[Encl]	mayeraaghpagenkuklu
meteghllug-~sf-w:(e)nkut[N→N][N][Abs][Unpd][Sg]	meteghllugenkut
pumsug-~sf:(e)sqe[Cmpd_Vbl][V][Trns][Ind][3Sg][3Sg]	pumsugesqaa
tagi-~sf:(e)sqe[Cmpd_Vbl][V][Trns][Ind][3Sg][3Sg]	tagisqaa
yuggagh*-~sf-w:(e)nkuk[N→N][N][Abs][Unpd][Sg]	yuggaankuk
yug-~sf-w:(e)nkuk[N→N][N][Abs][Unpd][Sg]	yugenkuk
