aaghte-iiraagh[V→V][V][Intr][Ind][3Du]	aaghtiiraaghtuk
aane-@₁~:(i/u)ma[V→V][V][Intr][Ptcp][3Sg]	aanumalghii
aghvegh-––ii[N→V][V][Intr][Ind][3Pl]	aghviigut
angyagh-iiraagh[N→V][V][Intr][Ind][3Sg]	angyaghiiraaghtuq
angyagh-iiraagh[V→V][V][Intr][Ind][3Sg]	angyaghiiraaghtuq
aqelqagh-––iqe[N→V][V][Intr][Ind][3Sg]	aqelqiquq
aqsag-––iqe[N→V][V][Intr][Ind][3Sg]	aqsiquq
ategh-––igh[N→V][V][Trns][Ind][3Sg][3Sg]	atighaa
aveg-@₁~:(i/u)ma[V→V][V][Intr][Ind][3Sg]	aavgumaaq
aveg-~i[V→V][V][Intr][Ind][3Sg]	aavgiiq
ayvegh-––ii[N→V][V][Intr][Ind][3Sg]	ayviiguq
esghagh-@₁~:(i/u)ma[V→V][V][Trns][Ptcp][3Sg][1Sg]	esghaamakanganga
ifla-~i[V→V][V][Intr][Ind][3Sg]	ifliiguq
imtuqagh-––iqe[N→V][V][Intr][Ind][3Sg]	imtuqiquq
imtuqiqe-@₁~:(i/u)magh*[V→V][Quant_Qual][4Sg]	imtuqiqumaghmi
ingaghte-@₁~:(i/u)ma[V→V][V][Intr][Ind][3Sg]	ingaghsimaaq
ingaghte-~i[V→V][V][Intr][Ind][3Sg]	ingaghtiiq
iqlengagh-––iqe[V→V][V][Intr][Ind][3Sg]	iqlengiquq
iyatagh-––iqe[V→V][V][Intr][Ind][3Sg]	iyatiquq
kaate-@₁~:(i/u)ma[V→V][V][Intr][Ind][3Sg]	kaasimaaq
kayaalqe-iiraagh[V→V]-@₁~:(u)te[V→V][V][Intr][Ind][3Pl]	kayaalqiiraaghutut
kenigh-––igh[N→V][V][Trns][Ind][3Sg][3Sg]	kenighaa
kiyaghte-@₁~:(i/u)ma[V→V][V][Intr][Ptcp][3Sg]	kiyaghsimalghii
kuuve-@₁~:(i/u)ma[V→V][V][Intr][Ind][3Sg]	kuuvumaaq
kuuve-~i[V→V][V][Intr][Ind][3Sg]	kuuviiq
maklag-––ii[N→V][V][Intr][Ind][3Sg]	makliiguq
mayugh-@₁~:(i/u)ma[V→V][V][Intr][Ind][3Sg]	mayuumaaq
naangqugh-––iqe[N→V][V][Intr][Ind][3Sg]	naangqiquq
naasqugh-––iqe[N→V][V][Intr][Ind][3Sg]	naasqiquq
naghaagh-@₁~:(i/u)magh*[V→V][Quant_Qual][4Pl]	naghaaghumaghmeng
nalug-@₁~:(i/u)ma[V→N][N][Abs][Unpd][Sg]	naluguma
nategh-––igh[N→V][V][Trns][Ind][3Sg][3Sg]	natighaa
neghe-@₁~:(i/u)mangite[V→V][V][Intr][Ind][3Sg]	neghumangituq
neghe-@₁~:(i/u)mate[V→N][N][Via][Unpd][Sg]	neghumatkun
neghe-@₁~:(i/u)ma[V→V][V][Trns][Ptcp][3Sg][3Sg]	neghumakanga
negh-@₁~:(i/u)ma[V→V][V][Trns][Ptcp][1Sg][3Sg]	neghumakegka
nengaawagh-––iqe[N→V][V][Intr][Ind][3Sg]	nengaawiquq
pi-@₁~:(i/u)manginagh[V→N][N][Abs][Unpd][Sg]	pimanginaq
piyug-@₁~:(i/u)magh*[V→V][Quant_Qual][4Du]	piyugumaagmek
qakiqnagh-––iqe[N→V][V][Intr][Ind][3Sg]	qakiqniquq
qavagh-––iqe[V→V][V][Intr][Ind][3Sg]	qaviquq
qavagh-@₁~:(i/u)ma[V→V][V][Intr][Ind][3Sg]	qavaamaaq
qepghagh-@₁~:(i/u)mafte[V→V][V][Intr][Ind][3Sg]	qepghaamaftuq
qepghagh-@₁~:(i/u)mate[V→N][N][Via][Unpd][Sg]	qepghaamatkun
qiya-@₁~:(i/u)ma[V→V][V][Intr][Ind][3Sg]	qiyamaaq
riistunegh-––iqe[N→V][V][Intr][Ind][3Sg]	riistuniquq
sikungigh-@₁~:(i/u)ma[V→V][V][Intr][Ind][3Sg]	sikungiimaaq
sikungigh-~i[V→V][V][Intr][Ind][3Sg]	sikungighiiq
tuqute-~i[V→V][V][Intr][Ind][3Sg]	tuqutiiq
umeg-~i[V→V][V][Intr][Ind][3Sg]	uumgiiq
