aane-~f–laghate[V→V][V][Intr][Ind][3Pl]	aanlaghatut
aange-–lleghpigagh[V→N][N][Abs][Unpd][Sg]	aangelleghpigaq
agha-–lghutagh[N→N][N][Abs][Unpd][Sg]	aghalghutaq
agha-–ligh[N→V][V][Trns][Ind][3Sg][3Sg]	aghalighaa
aghneghsaghtugh-–lleghqagh[V→N][N][Abs][3SgPoss][SgPosd]	aghneghsaghtulleghqaa
aghvegh-–liigh[N→V][V][Intr][Ind][3Sg]	aghveliightuq
akuzi-–llegh[V→N][N][Abs][1PlPoss][PlPosd]	akuzilleput
akuzi-–llgite[V→V][V][Intr][Ind][3Sg]	akuzillgituq
akuzi-–llgu[V→V][V][Intr][Ind][3Sg]	akuzillguuq
akuzi-–lqusiigh[V→V][V][Intr][Ind][3Sg]	akuzilqusiightuq
angyagh-–leg[N→N][N][Abs][Unpd][Sg]	angyalek
angyagh-–lgigh[N→V][V][Intr][Ind][3Sg]	angyalgightuq
angyagh-–liigh[N→V][V][Intr][Ind][3Sg]	angyaliightuq
angyagh-–liite[N→V][V][Intr][Intrg][3Sg]	angyaliita
angyagh-–liite[N→V][V][Intr][Intrg][3Sg]	angyaliitaa
angyagh-–llaag[N→N][N][Abs][Unpd][Sg]	angyallaak
angyagh-–llegagh*[N→N][N][Abs][Unpd][Sg]	angyallegaq
angyagh-–lleg[V→N][N][Abs][Unpd][Sg]	angyallek
angyagh-–lug[N→N][N][Abs][Unpd][Sg]	angyaluk
angyagh-–lugpigagh[N→N][N][Abs][Unpd][Sg]	angyalugpigaq
aqsa-lliqe[N→V][V][Intr][Ind][3Sg]	aqsalliquq
atkug-–llaag[N→N][N][Abs][Unpd][Sg]	atkullaak
atugh-–lleg[V→N][N][Abs][Unpd][Pl]	atullget
atugh-–llgiite[V→V][V][Intr][Ind][3Sg]	atullgiituq
avaqutagh-–lgu[N→V][V][Intr][Ind][1Sg]	avaqutalguunga
ayaviigh-–leg[N→N][N][Abs][Unpd][Sg]	ayaviilek
esghapag-–llegh[V→N][N][Abs][1PlPoss][SgPosd]	esghapalleghput
ghhuugh-–ligh[N→V][V][Trns][Ind][3Sg][3Sg]	ghhuulighaa
guute-@₁~flaatagh[V→V][V][Trns][Ind][3Sg][3Sg]	guullaataghaa
ifla-~f–laghate[V→V][V][Intr][Ind][3Pl]	iflalaghatut
igaasigh-–lghutagh[N→N][N][Abs][Unpd][Sg]	igaasilghutaq
igagh-–llegh[V→N][N][Abs][Unpd][Sg]	igalleq
igleghte-@₁~flaatagh[V→V][V][Intr][Ind][3Sg]	igleghllaataghtuq
ila-–ligh[N→V][V][Trns][Ind][3Sg][3Sg]	ilalighaa
ilu-–liqe[N→V][V][Intr][Ind][3Sg]	iluliquq
ilumig-–leg[N→N][N][Abs][Unpd][Sg]	ilumilek
itegagh-llug[N→N][N][Abs][Unpd][Sg]	itegaghlluk
itegagh-–llug[N→N][N][Abs][Unpd][Sg]	itegalluk
itegh-~f–laghate[V→V][V][Intr][Ind][3Pl]	itelaghatut
itegh-–llghite[V→V][V][Intr][Ind][3Sg]	itellghituq
iye-–llug[N→N][N][Abs][Unpd][Sg]	iyelluk
kaate-@₁laaghigate[V→V][V][Trns][Ind][3Pl][3Sg]	kaallaaghigataat
kaate-@₁laataqu[V→V][V][Intr][Ind][3Sg]	kaallaataquuq
kaate-@₁–lghii[V→N][N][Abs][Unpd][Sg]	kaallghii
kaate-@₁lugh[V→V][V][Intr][Ind][3Sg]	kaallughtuq
kameg-–llaag[N→N][N][Abs][Unpd][Du]	kamellaagek
kameg-–llegagh*[N→N][N][Abs][Unpd][Du]	kamellegaak
kaviigh-–liqe[N→V][V][Intr][Ind][3Sg]	kaviiliquq
laalighte-@₁–lghii[V→N][N][Abs][Unpd][Sg]	laalighlleghhii
laalighte-–llghite[V→V][V][Trns][Ind][3Sg][3Sg]	laalightellghitaa
mangtag-–lghutagh[N→N][N][Abs][Unpd][Sg]	mangtalghutaq
mangteghagh-–ghrugllag[N→N]-–lgu[N→V][V][Intr][Ind][3Sg]	mangteghaghrugllalguuq
manig-–lghun[N→N][N][Abs][Unpd][Sg]	manilghun
mani-–lghutagh[N→N][N][Abs][Unpd][Sg]	manilghutaq
nanevgagh-–lluggagh[N→N][N][Abs][Unpd][Sg]	nanevgalluggaq
neghe-@₁–lghii[V→N][N][Abs][Unpd][Sg]	neghelghii
neghe-–llaag[V→V][V][Intr][Ind][3Sg]	neghellaagtuq
neghe-–llghite[V→V][V][Trns][Ind][3Sg][3Sg]	neghellghitaa
negh-@₁laataqu[V→V][V][Intr][Ind][3Sg]	neghlaataquuq
ne-–lgun[N→N][N][Abs][2DuPoss][PlPosd]	nelgutek
ne-–liite[N→V][V][Trns][Ind][3Du][3Sg]	neliitiit
neqe-–lghutagh[N→N][N][Abs][Unpd][Sg]	neqelghutaq
pagunghagh*-–ligh[N→V][V][Trns][Ind][3Sg][3Sg]	pagunghalighaa
pagunghagh*-–liqe[N→V][V][Intr][Ind][3Sg]	pagunghaliquq
