aange-–mrugnite[V→V][V][Intr][Ind][3Sg]	aangemrugnituq
aki-–msuggiite[N→V][V][Intr][Ind][3Sg]	akimsuggiituq
ava-–msuggagh*[N→N][N][Abs][Unpd][Sg]	avamsuggaq
ingaghte-@₁@₂~fmiqe[Cmpd_Vbl][V][Trns][Ind][3Sg][3Sg]	ingaghhmiqaa
kalngag-~fmig[N→V][V][Trns][Ind][3Sg][3Sg]	kalngagmigaa
kiiw-~fmete[N→V][V][Intr][Ind][3Sg]	kiiwmetuq
neghe-–msug[V→V][V][Intr][Ind][3Sg]	neghemsugtuq
negh-@₁@₂~fmiqe[Cmpd_Vbl][V][Trns][Ind][3Sg][3Sg]	neghmiqaa
Pugughilegh-~fmii[N→N][N][Abs][Unpd][Pl]	pugughileghmiit
qanegh-~fmig[N→N][N][Abs][Unpd][Sg]	qaneghmik
qanegh-~fmig[N→V][V][Trns][Ind][3Sg][3Sg]	qaneghmigaa
qanegh-~fmiigh[N→N][N][Abs][Unpd][Sg]	qaneghmiiq
qanegh-~fmiigh[N→V][V][Trns][Ind][3Sg][3Sg]	qaneghmiighaa
qavagh-@₁@₂~fmiqe[Cmpd_Vbl][V][Trns][Ind][3Sg][3Sg]	qavaghmiqaa
qavagh-–msiigh[V→V][V][Intr][Ind][3Sg]	qavamsiightuq
qepghagh-–msiigh[V→V][V][Intr][Ind][3Sg]	qepghamsiightuq
qepghagh-–msug[V→V][V][Intr][Ind][3Sg]	qepghamsugtuq
qikmigh-–msiigh[N→N][N][Abs][Unpd][Sg]	qikmimsiiq
qiya-@₁@₂~fmiqe[Cmpd_Vbl][V][Trns][Ind][3Sg][3Sg]	qiyamiqaa
qute-~fmii[N→N][N][Abs][Unpd][Pl]	quutmiit
Sivungagh*-~fmii[N→N][N][Abs][Unpd][Sg]	sivungaghmii
taaqe-@₁@₂~fmiqe[Cmpd_Vbl][V][Trns][Ind][3Sg][3Sg]	taaqmiqaa
tuqute-@₁@₂~fmiqe[Cmpd_Vbl][V][Trns][Ind][3Sg][3Sg]	tuqutmiqaa
Ungazigh-~fmii[N→N][N][Abs][Unpd][Sg]	ungazighmii
ungipagh-–msug[V→V][V][Intr][Ind][3Sg]	ungipamsugtuq
whaa-~fmig[N→N][N][Abs][Unpd][Sg]	whaamik
yu(u)g-–msuggiite[N→V][V][Intr][Ind][3Sg]	yumsuggiituq
