aafte-@₁qugh[V→V][V][Trns][Ind][3Sg][3Sg]	aafqughaa
aane-~–qaghte[V→V][V][Intr][Ind][3Sg]	aanqaghtuq
aghvegh-–qinghagh[N→N][N][Abs][Unpd][Sg]	aghveqinghaq
aliigh-–qaqu[V→V][V][Intr][Ind][3Sg]	aliiqaquuq
angyagh-–qrug[N→N][N][Abs][Unpd][Sg]	angyaqruk
anuqe-–qrug[N→N][N][Abs][Unpd][Sg]	anuqeqruk
atugh-~–qagh[V→V][V][Trns][Opt][PRS][2Sg][3Sg]	atuqaghhu
atugh-~–qumtaagh[V→N][N][Abs][Unpd][Sg]	atuqumtaaq
aveg-~–qumtaagh[V→N][N][Abs][Unpd][Sg]	aafkumtaaq
ayemte-@₁qugh[V→V][V][Trns][Ind][3Sg][3Sg]	ayemqughaa
igagh-–qragh[N→N][N][Abs][Unpd][Sg]	igaqraq
ila-~–qumtaagh[V→N][N][Abs][Unpd][Sg]	ilaqumtaaq
iqug-–qligh*[N→N][N][Abs][Unpd][Sg]	iqukliq
itegh-~–qaghte[V→V][V][Intr][Ind][3Sg]	iitqaghtuq
itegh-~–qagh[V→V][V][Intr][Opt][PRS][2Sg]	iitqaa
kaagute-@₁qugh[V→V][V][Intr][Ind][3Sg]	kaaguqughtuq
kaape-~–qaghte[V→V][V][Intr][Ind][3Sg]	kaapqaghtuq
kaate-~–qaghte[V→V][V][Intr][Ind][3Sg]	kaatqaghtuq
kagimte-@₁qugh[V→V][V][Trns][Ind][3Sg][3Sg]	kagimqughaa
kaki-–qragh[V→V][V][Intr][Ind][3Sg]	kakiqraghtuq
kangigh-–qligh*[N→N][N][Abs][Unpd][Sg]	kangiqliq
kumlate-~–qaghte[V→V][V][Intr][Ind][3Sg]	kumlatqaghtuq
laag-–qiinagh[V→V][V][Intr][Ind][3Sg]	laakiinaghtuq
lluu-qu[N→V][V][Intr][Ind][3Sg]	lluuquuq
nalle-–qligh*[N→N][N][Abs][Unpd][Sg]	nalleqliq
neghe-~–qumtaagh[V→N][N][Abs][Unpd][Sg]	neghqumtaaq
negh-–qiinagh[V→V][V][Intr][Ind][3Sg]	neqiinaghtuq
negh-~–qumtaagh[V→N][N][Abs][Unpd][Sg]	nequmtaaq
negh-~–qumtaagh[V→N]-~:(ng₁)u[N→V][V][Intr][Ind][3Sg]	nequmtaaghuuq
negig-–qragh[V→V][V][Intr][Ind][3Sg]	negikraghtuq
nekeve-~–qaghte[V→V][V][Intr][Ind][3Sg]	nekefqaghtuq
nuna-~–qite[N→V][V][Intr][Ind][3Sg]	nunaqituq
nuug-–qaqu[V→V][V][Intr][Ind][3Sg]	nuukaquuq
nuupnigh-~–qaghaqe[V→V][V][Intr][Sbrd][3Sg]	nuupniqaghaqluni
nuvag-@₁~fragh[V→V]-~–qaghaqe[V→V][V][Trns][Sbrd][_][3Sg]	nuvagraqaghaqluku
pinigh-~–qumtaagh[V→N][N][Abs][Unpd][Sg]	piniqumtaaq
qavagh-–qiinagh[V→V][V][Intr][Ind][3Sg]	qavaqiinaghtuq
qugagh-–qu[V→V][V][Intr][Ind][3Sg]	qugaquuq
qule-~–qite[N→V][V][Intr][Ind][3Sg]	quulqituq
repa-–qu[V→V][V][Intr][Ind][3Sg]	repaquuq
sani-qagh[N→N][N][Abs][Unpd][Sg]	saniqaq
siku-~–qite[N→V][V][Intr][Ind][3Sg]	sikuqituq
sivu-–qligh*[N→N][N][Abs][Unpd][Sg]	sivuqliq
tagnegh-–qragh[N→N][N][Abs][Unpd][Sg]	tagneqraq
tunge-–qligh*[N→N][N][Abs][Unpd][Sg]	tungeqliq
tungtu-qu[N→V][V][Intr][Ind][3Sg]	tungtuquuq
tunu-–qligh*[N→N][N][Abs][Unpd][Sg]	tunuqliq
tuute-~–qaghtagh[V→V][V][Trns][Ind][3Sg][3Sg]	tuutqaghtaghaa
umu-~–qite[V→V][V][Intr][Ind][3Sg]	umuqituq
unkuse-qu[N→V][V][Intr][Ind][3Sg]	unkusequuq
uqigtu-qagh[V→N][N][Abs][Unpd][Sg]	uqigtuqaq
yug-–qrug[N→N][N][Abs][Unpd][Sg]	yukruk
