aate-@₁~fragh[V→V][V][Intr][Ind][3Sg]	aarraghtuq
alunge-@₁~fragh[V→V][V][Intr][Ind][3Sg]	alungraghtuq
angyagh-raghagh[N→N][N][Abs][Unpd][Sg]	angyaghraghaq 
atkug-raghagh[N→N][N][Abs][Unpd][Sg]	atkugraghaq
atkug-–rraag[N→N][N][Abs][Unpd][Sg]	atkurraak
giimagh-–rraag[N→N][N][Abl_Mod][Unpd][Sg]	giimarraagmeng
igaghvig-raaghagh[N→N][N][Abs][Unpd][Sg]	igaghvigraaghaq
ingaghte-@₁~f–ragkiigh[V→V][V][Intr][Ind][3Sg]	ingaghhragkiightuq
iquyagh-–rraag[N→N][N][Abl_Mod][Unpd][Sg]	iquyarraagmeng
itegh-@₁~f–ragkiigh[V→V][V][Intr][Ind][3Sg]	iteragkiightuq
kaate-@₁~f–ragkiigh[V→V][V][Intr][Ind][3Sg]	kaarragkiightuq
kameg-–raagh[N→N][N][Abs][Unpd][Sg]	kameraaq
kuynge-–raagh[N→N][N][Abs][Unpd][Sg]	kuyngeraaq
mangteghagh-–rraag[N→N][N][Abs][Unpd][Sg]	mangtegharraak
negh-@₁~f–ragkiigh[V→V][V][Intr][Ind][3Sg]	neragkiightuq
negh-@₁~f–rakegte[V→V][V][Intr][Ind][3Sg]	nerakegtuq
nenglaghnagh-–rkaggagh[V→N][N][Abs][Unpd][Sg]	nenglaghnarkaggaq
piniraaghinagh*[N][Abs][Unpd][Sg]	piniraaghinaq
qaligh-–raagh[N→N][N][Abs][Unpd][Sg]	qaliraaq
qepghagh-@₁~f–rakguugh[V→V][V][Intr][Ind][3Sg]	qepgharakguughtuq
qimag-@₁~fragh[V→V][V][Intr][Ind][3Sg]	qimagraghtuq
qiya-@₁~f–ragkiigh[V→V][V][Intr][Ind][3Sg]	qiyaragkiightuq
sa-@₁~f–rakegtagh[V→N][N][Abs][Unpd][Sg]	sarakegtaq
taaqe-@₁~f–ragkiigh[V→V][V][Intr][Ind][3Sg]	taaqragkiightuq
tagi-@₁~f–rakegte[V→V][V][Intr][Ind][3Sg]	tagirakegtuq
tuqlugh-@₁~fragh[V→V][V][Intr][Ind][3Sg]	tuqlughraghtuq
tuugkagh-–rraag[N→N][N][Abl_Mod][Unpd][Sg]	tuugkarraagmeng
ukig-@₁~f–ragkiigh[V→V][V][Intr][Ind][3Sg]	ukiragkiightuq
ungagagh-–raaghinagh*[N→N][N][Abs][Unpd][Sg]	ungagaraaghinaq
