aghi-sigh[V→V][V][Trns][Ind][3Sg][3Sg]	aghisighaa
aghnagh-–staghhiinagh*[N→N][N][Abs][Unpd][Pl]	aghnastaghhiinaat
aghnalqwaagh-–sluvegagh[N→N][N][Abs][Unpd][Sg]	aghnalqwaasluvegaq
aghyugh-sigh[V→V][V][Trns][Ind][3Sg][3Sg]	aghyughsighaa
akluma-–sag[V→N][N][Abs][Unpd][Sg]	aklumasak
alingtagh-–sag[V→N][N][Abs][Unpd][Sg]	alingtasak
angyagh-–siigh[N→N][N][Abs][Unpd][Sg]	angyasiiq
angyagh-si[N→V][V][Intr][Ind][3Sg]	angyaghsiiq
angyagh-–squghhagh*[N→N][N][Abs][Unpd][Sg]	angyasqughhaq
angyagh-–squgh[N→N][N][Abs][Unpd][Sg]	angyasquq
angyagh-–squllgagh[N→N][N][Abs][Unpd][Sg]	angyasqullgaq
avlawa-–siigh[N→N][N][Abs][Unpd][Sg]	avlawasiiq
ayvegh-saghtugh[N→V][V][Intr][Ind][3Sg]	ayveghsaghtughtuq
ingaghte-saghagh[Cmpd_Vbl][V][Trns][Ind][3Sg][3Sg]	ingaghtesaghaghaa
inghu-–sighwaagh[V→V][V][Intr][Ind][3Sg]	inghusighwaaghtuq
ipeg-sagh[V→V][V][Trns][Ind][3Sg][3Sg]	ipegsaghaa
iqlengagh-–sag[V→N][N][Abs][Unpd][Sg]	iqlengasak
iye-–squllgagh[N→N][N][Abs][Unpd][Sg]	iyesqullgaq
kaki-–saag[V→V][V][Intr][Ind][3Sg]	kakisaagtuq
kaviigh-saghtugh[N→V][V][Intr][Ind][3Sg]	kaviighsaghtughtuq
mangteghagh-si[N→V][V][Intr][Ind][3Sg]	mangteghaghsiiq
neghe-saghagh[Cmpd_Vbl][V][Trns][Ind][3Sg][3Sg]	neghesaghaghaa
neghsagh-saghtugh[N→V][V][Intr][Ind][3Sg]	neghsaghsaghtughtuq
nenglagh-saghagh[Cmpd_Vbl][V][Trns][Ind][3Sg][3Sg]	nenglaghsaghaghaa
nuna-si[N→V][V][Intr][Ind][1Sg]	nunasiinga
nuna-–squgh[N→N][N][Abs][Unpd][Sg]	nunasquq
pinigh-sagh[V→V][V][Intr][Ind][3Sg]	pinighsaghtuq
pinigh-sagh[V→V][V][Trns][Ind][3Sg][3Sg]	pinighsaghaa
pinigh-sugh[V→V][V][Trns][Ind][3Sg][3Sg]	pinighsughaa
qavagh-sugnite[V→V][V][Intr][Ind][3Sg]	qavaghsugnituq
qepghagh-–sighwaagh[V→V][V][Intr][Ind][3Sg]	qepghasighwaaghtuq
qikmigh-–siigh[N→N][N][Abs][Unpd][Sg]	qikmisiiq
qikmigh-si[N→V][V][Intr][Ind][3Sg]	qikmighsiiq
qikmigh-sugnite[N→V][V][Intr][Ind][3Sg]	qikmighsugnituq
qiya-saghagh[Cmpd_Vbl][V][Trns][Ind][3Sg][3Sg]	qiyasaghaghaa
quug-siigh[N→V][V][Intr][Ind][3Sg]	quugsiightuq
taghnughhagh*-–sluvegagh[N→N]-–sluvegagh[N→N][N][Abs][Unpd][Sg]	taghnughhasluvegasluvegaq
taketu-sugh[V→V][V][Trns][Ind][3Sg][3Sg]	taketusughaa
tuqute-saghagh[Cmpd_Vbl][V][Trns][Ind][3Sg][3Sg]	tuqutesaghaghaa
ulaagh-si[N→V][V][Intr][Ind][3Sg]	ulaaghsiiq
umeg-–sighwaagh[V→V][V][Trns][Sbrd][_][3Sg]	umesighwaaghluku
yu(u)g-–sluvegagh[N→N][N][Abs][Unpd][Sg]	yusluvegaq
yu(u)g-–sngwaaghaq[N→N][N][Abs][Unpd][Sg]	yusngwaaghaq
yu(u)g-–squghhagh*[N→N][N][Abs][Unpd][Sg]	yusqughhaq
yu(u)g-sugnite[N→V][V][Intr][Ind][3Sg]	yugsugnituq
