aane-@₁~fyaghagh[V→V][V][Intr][Ind][3Sg]	aanyaghaghtuq
aflengake-@₁~fyagute[V→V][V][Trns][Ind][3Sg][3Sg]	aflengaksagutaa
aghvenge-@₁~f–yuqagh[V→N][N][Abs][Unpd][Sg]	aghvengyuqaq
aglagh-@₁~fyaghtugh[V→V][V][Intr][Ind][3Sg]	aglaghyaghtughtuq
angyagh-@₁~fyuwhaagh[V→V][V][Intr][Ind][1Sg]	angyaghyuwhaaghtunga
anusimingllagh-@₁~fyaghqaqe[V→V][V][Trns][Ptcp][3Sg][3Sg]	anusimingllaghyaghqaqegkanga
atugh-@₁~fyaaghte[V→V][V][Intr][Ind][3Sg]	atughyaaghtuq
atugh-@₁~f–yiite[V→V][V][Intr][Ind][3Sg]	atuyiituq
atugh-@₁~fyugnagh[V→V][V][Intr][Ind][3Sg]	atughyugnaghtuq
atugh-@₁~f–yu[V→N][N][Abs][Unpd][Sg]	atuyu
atugh-@₁~f–yu[V→V][V][Intr][Ind][3Sg]	atuyuuq
estullug-–yaagh[N→N][N][Abs][Unpd][Sg]	estulluyaaq
igagh-@₁~fyaghqagh[V→N][N][Abs][Unpd][Sg]	igaghyaghqaq
igagh-@₁~fyagh[V→V][V][Intr][Ind][3Sg]	igaghyaghtuq
ilagagh-@₁~fyuneghtu[V→V][V][Intr][Ind][3Sg]	ilagaghyuneghtuuq
itegagh-–yaagh[N→N][N][Abs][Unpd][Sg]	itegayaaq
itegh-@₁~fyaghpete[V→V][V][Intr][Ind][3Sg]	iteghyaghpetuq
kagimte-@₁~fyuguma[V→V][V][Intr][Ind][3Sg]	kagimyugumaaq
kaki-@₁~f–yaag[V→V][V][Intr][Ind][3Sg]	kakiyaagtuq
kaki-@₁~f–yiite[V→V][V][Intr][Ind][3Sg]	kakiyiituq
kaki-@₁~f–yuqagh[V→N][N][Abs][Unpd][Sg]	kakiyuqaq
kepsugh-@₁~fyaghagh[V→V]-@₁lleqe[V→V][V][Intr][Ind][2Pl]	kepsughyaghaghllequsi
kiyaghte-@₁~fyuneghtu[V→V][V][Intr][Ind][3Pl]	kiyaghsuneghtuut
laag-@₁~fyaghqagh[V→N][N][Abs][Unpd][Sg]	laagyaghqaq
liite-@₁~fyaaghagh[V→V][V][Intr][Ind][3Sg]	liisaaghaghtuq
lluuqu-@₁~fyagh[V→V][V][Intr][Ind][3Sg]	lluuquyaghtuq
nallu-@₁~fyagute[V→V][V][Trns][Ind][3Sg][3Sg]	nalluyagutaa
neghe-@₁~f–yaag[V→V][V][Intr][Ind][3Sg]	neghyaagtuq
neghe-@₁~fyaghqagh[V→N][N][Abs][Unpd][Sg]	neghyaghqaq
neqenge-@₁~f–yuqagh[V→N][N][Abs][Unpd][Sg]	neqengyuqaq
qavagh-@₁~fyaghqagh[V→N][N][Abs][Unpd][Sg]	qavaghyaghqaq
qawaag-@₁~fyagh[N→V][V][Intr][Ind][3Sg]	qawaagyaghtuq
qeneghte-@₁~fyaaghagh[V→V][V][Intr][Ind][3Sg]	qeneghsaaghaghtuq
qepghagh-@₁~f–yaag[V→V][V][Intr][Ind][3Sg]	qepghayaagtuq
quyngighniighteke-@₁~fyuggaagh[V→N][N][Abs][Unpd][Pl]	quyngighniighteksuggaaghet
sa-@₁~fyaghqaa[V→V][V][Intr][Intrg][1Pl]	sayaghqaasta
sagelmag-yage[N→N][N][Abs][Unpd][Pl]	sagelmagyaget
Santi-@₁~fyagh[N→V][V][Intr][Ind][3Sg]	santiyaghtuq
taghtugh-@₁~fyaghagh[V→V][V][Intr][Ind][3Sg]	taghtughyaghaghtuq
tagi-@₁~f–yiilliqe[V→V][V][Intr][Ind][3Pl]	tagiyiilliqut
takagh-@₁~fyagute[V→V][V][Trns][Ind][3Sg][3Sg]	takaghyagutaa
tamaghhagh-yage[N→N][N][Abs][Unpd][Sg]	tamaghhaghyaga
tuqute-@₁~fyaghqagh[V→N][N][Abs][Unpd][Sg]	tuqusaghqaq
ukazigh-@₁~fyagh[N→V][V][Intr][Ind][3Sg]	ukazighyaghtuq
yu(u)g-yage[N→N][N][Abs][Unpd][Pl]	yugyaget
yu(u)g-yag[N→V][V][Intr][Ind][3Sg]	yugyagtuq
