aghvegh[N][Abl_Mod][Unpd][Sg]	aghveghmeng
anigu[N][Abl_Mod][Unpd][Sg]	anigumeng
aqavzig[N][Abl_Mod][Unpd][Sg]	aqavzigmeng
aqelqagh[N][Abl_Mod][Unpd][Sg]	aqelqameng
esla[N][Abl_Mod][Unpd][Sg]	eslameng
iqallug[N][Abl_Mod][Unpd][Sg]	iqallugmeng
kayu[N][Abl_Mod][Unpd][Sg]	kayumeng
kufi[N][Abl_Mod][Unpd][Sg]	kufimeng
Laluramke[N][Abl_Mod][Unpd][Sg]	laluramkemeng
megh[N][Abl_Mod][Unpd][Sg]	meghmeng
naayvagh[N][Abl_Mod][Unpd][Sg]	naayvameng
neghsagh[N][Abl_Mod][Unpd][Sg]	neghsameng
neqe[N][Abl_Mod][Unpd][Sg]	neqmeng
nuna[N][Abl_Mod][Unpd][Sg]	nunameng
pagunghagh*[N][Abl_Mod][Unpd][Sg]	pagunghaghmeng
sikig[N][Abl_Mod][Unpd][Sg]	sikigmeng
Sivungagh*[N][Abl_Mod][Unpd][Sg]	sivungaghmeng
Sivuqagh[N][Abl_Mod][Unpd][Sg]	sivuqameng
ukazigh[N][Abl_Mod][Unpd][Sg]	ukazimeng
ulghaagh[N][Abl_Mod][Unpd][Sg]	ulghaaghmeng
Ungazigh[N][Abl_Mod][Unpd][Sg]	ungazimeng
uqugh[N][Abl_Mod][Unpd][Sg]	uqumeng
vegaagh*[N][Abl_Mod][Unpd][Sg]	vegaaghmeng
veg[N][Abl_Mod][Unpd][Sg]	vegmeng
yavlu[N][Abl_Mod][Unpd][Sg]	yavlumeng
yaywaali[N][Abl_Mod][Unpd][Sg]	yaywaalimeng
