aane-@₁~fnaqe[V→V][V][Intr][Ind][3Sg]	aannaquq
aane-@₁lleqe[V→V][V][Intr][Ind][3Sg]	aanellequq
aghula-@₁~fyug[V→V][V][Intr][Ind][3Sg]	aghulayugtuq
angyagh[N][Via][Unpd][Sg]	angyakun
aqii-~(g₁)aqe[V→V][V][Intr][Ind][3Sg]	aqiigaquq
igaghvig[N][Via][Unpd][Pl]	igaghvigetgun
igaghvig[N][Via][Unpd][Pl]	igaghvigteggun
igaghvig[N][Via][Unpd][Sg]	igaghvigkun
ingaghte-@₁~fnaqe[V→V][V][Intr][Ind][3Sg]	ingaghhnaquq
ingaghte-@₁~fyug[V→V][V][Intr][Ind][3Sg]	ingaghsugtuq
ingaghte-@₁lleqe[V→V][V][Intr][Ind][3Sg]	ingaghllequq
itegh-~(g₁)aqe[V→V][V][Intr][Ind][3Sg]	iitghaquq
kaate-@₁~fnaqe[V→V][V][Intr][Ind][3Sg]	kaannaquq
kaate-@₁~fyug[V→V][V][Intr][Ind][3Sg]	kaasugtuq
kaate-@₁lleqe[V→V][V][Intr][Ind][3Sg]	kaallequq
kuuve-@₁~fnaqe[V→V][V][Intr][Ind][3Sg]	kuuvnaquq
kuuve-~(g₁)aqe[V→V][V][Intr][Ind][3Sg]	kuuvaquq
kuuve-@₁lleqe[V→V][V][Intr][Ind][3Sg]	kuuvellequq
naayvagh[N][Abl_Mod][Unpd][Sg]	naayvameng
naayvagh[N][Loc][Unpd][Sg]	naayvami
naayvagh[N][Ter][Unpd][Sg]	naayvamun
naayvagh[N][Via][Unpd][Pl]	naayvatgun
naayvagh[N][Via][Unpd][Sg]	naayvakun
neghe-~(g₁)aqe[V→V][V][Intr][Ind][3Sg]	neghaquq
neghe-@₁lleqe[V→V][V][Intr][Ind][3Sg]	neghellequq
negh-@₁~fnaqe[V→V][V][Intr][Ind][3Sg]	neghnaquq
negh-@₁~fyug[V→V][V][Intr][Ind][3Sg]	neghyugtuq
negh-~(g₁)aqe[V→V][V][Intr][Ind][3Sg]	neghaquq
nuna[N][Via][Unpd][Pl]	nunatgun
nuna[N][Via][Unpd][Sg]	nunakun
pagunghagh*[N][Via][Unpd][Pl]	pagunghaatgun
pagunghagh*[N][Via][Unpd][Pl]	pagunghaghteggun
qavagh-@₁~fnaqe[V→V][V][Intr][Ind][3Sg]	qavaghnaquq
qavagh-@₁~fyug[V→V][V][Intr][Ind][3Sg]	qavaghyugtuq
qavagh-~(g₁)aqe[V→V][V][Intr][Ind][3Sg]	qavaghaquq
qavagh-@₁lleqe[V→V][V][Intr][Ind][3Sg]	qavaghllequq
qikmigh[N][Equ][Unpd][Sg]	qikmitun
qulmesiite[N][Loc][Unpd][Pl]	qulmesiitni
savig[N][Via][Unpd][Sg]	savigkun
taaqe-@₁~fyug[V→V][V][Intr][Ind][3Sg]	taaqsugtuq
tagi-@₁~fnaqe[V→V][V][Intr][Ind][3Sg]	taginaquq
tagi-~(g₁)aqe[V→V][V][Intr][Ind][3Sg]	tagiiquq
tagi-@₁lleqe[V→V][V][Intr][Ind][3Sg]	tagillequq
tume[N][Loc][Unpd][Pl]	tumeni
vegaagh*[N][Via][Unpd][Pl]	vegaaghetgun
vegaagh*[N][Via][Unpd][Pl]	vegaaghteggun
vegaagh*[N][Via][Unpd][Sg]	vegaaghqun
Yupig[N][Equ][Unpd][Pl]	yupigestun
