aqume-, to sit (intransitive only)
egte-,to throw away (transitive only)
esnae,shore; rim
esnaq,beach
igaghyaghqaq,paper to be written on
igaq,paper with writing (in plural book)
kaamwaaq,coltsfoot plant (Petasites frigidus)
kaaw-,"to hit, to strike with an object (transitive or intransitive)"
kenigh-,to point (at) (transitive only)
lata-,to write a letter (to) (transitive or intransitive)
legan,go ahead; and then (particle)
nalighmeng,or (particle)
nanglii-,to stare into space (intransitive only)
nekeve-,to stand up (intransitive only)
nekrek,hook
pugimagh-,to swim (transitive or intransitive)
puugzaq,beluga
pumsug-,to pinch (transitive only)
qayugh-,"to drink hot liquid (coffee, tea, etc.) (intransitive only)"
qayuusiq,cup
quuk,swan
quuk,firewood (homophonous with preceding word)
ququngaq,leaf; edible willow leaf
unkusae,animal trap (usually dual for one trap)
taaghta,doctor (base is taaghta-)
tagite-,to bring here (transitive only)
tuqute-,to kill (transitive only)
