aghveq,whale
anigu,snow on ground
aqavzik,"salmonberry, cloudberry (Rubus chamaemorus)"
aqelqaq,visitor
esla,outdoors; weather; awareness; world
iqalluk,fish
kayu,sculpin; ocean fish (in general)
kufi,coffee
Laluramkae,"white person, Caucasian"
meq,water
naayvaq,lake
neghsaq,seal (in general)
neqae,food
nuna,land
pagunghaq*,crowberry (Empetrum nigrum); berry (in general)
sikik,squirrel
Sivungaq*,Savoonga
Sivuqaq,Gambell; St. Lawrence Island (in general)
ukaziq,"hare, locally rabbit"
ulghaaq,sea lion
Ungaziq,"Old Chaplino, Indian Point (in Chukotka)"
uquq,fat; blubber
vek,grass
vegaaq,grass
yavlu,sweetheart
yaywaali,orphan
aghula-,to dance
aghulaqe-,to leave
alinge-,to be afraid
aane-,to go out
aange-,to be big
aqii-,"to take a pleasure trip, to take a vacation"
esghaate-,to see something
esleqe-,to be full
gaagh-,to cook
ifla-,to lose; to get lost
ingaghte-,to lie down
inghu-,to pick berries
itegh-,"to go in, to enter"
kaate-,to arrive
kuuve-,to spill
megh-,to drink
meghe-,to drink
nagate-,to listen; to hear
negh-,to eat
neghe-,to eat
nenglagh-,to laugh
pinigh-,to be good
qavagh-,to sleep
qiighw-,to cough
qiya-,to cry
tagi-,to come towards speaker
taake-,to be long
tuqu-,to die
