aafkaneghllug,durable material that will not burst
aaggaate,whetstone; sharpening stone
aaghheghnegh,person that can easily be persuaded
aaghhneghllug,one who is hard to convince; stubborn person; skeptical person
aaghlu,fireball of some sort coming down from mountains (perhaps meteor or comet)
aaghqutagh,a certain ball game
aaghsi,thong holding shank (giimaq) to harpoon shaft
aaghwtagh,tent with a arched roof; wooden house type with arched roof covered with hide
aagnegh,crotch of pants; one pace; one step
aagralghut,guyline at corner of the aagra, the insulated inner room of traditional dome-shaped house
aagra,insulated inner room of the traditional dome-shaped house, the mangteghapik
aagriite,ridgepole supporting the aagra, the insulatedinner room of traditional dome-shaped house
aagyugnegh,persistent person
aahaaleketiigh,a game involving coiled lines drawn on the ground which one follows from the outside inward as a particular song is sung
aahaangwligh,oldsquaw duck (Clangula hyemalis); the cry of the oldsquaw
aakagh*,older sister of a female
aakwrag,small spot or streak of blood
aalghagh,another family in the same clan; the other of a pair of boats cooperating in a hunt; hunting partner; second wife
aallgutagh,broom; besom; wing of bird used as a broom
aallnegh,ember; soot with grease from an oil lamp
aalma,block of snow to be used in a heated house
aalqullghiig,pair; couple; person and companion
aamag,a kind of berry
aamqute,welt put in between the boot sole and the upper on a skinboot
aanelgute,littermate; one born at the same time; a person's contemporary
aangeghllag,big thing; large thing
aangenegh,bigger one; larger one
aangqagh,ball
aangqannegh,traditional ball game
aangqengwaagh,small rattle
aanngerqugh,ankle bone
aanqaghnegh,bulge; protrusion
aanqaghreki,the number three (in a counting or finger naming jingle for children)
aanqullegh,manure
aantagh,midden; dump
aanvig,outlet; exit
aanyaghagh,first one out; firstborn child; man who goes outside the first (in the morning); first letter of word, initial; exit; the way out; outlet
aanziigh,a burp; a belch
aapghute,object which is to be sacrificed; prediction
aasi,the number six (in a counting or finger naming jingle for children)
aaskestaaghhagh,narrow thing; something that does not extend far
aasligh,soup of greens and seal blood
aasliquutagh,grease stain in the entrance opening of a winter house
aatati,the number 'one' (in a counting or finger naming jingle for children)
aatkagh,article of clothing; garment
aatnegh,slope near the beach; small portion of land extending out into the water
aatware,hot water
aavnegh,half; half dollar
aavngugh,burl
aavngute,sealskin pants
aawhkaghnigh*,thing of a while ago
aawhkaghniimna,previous place; former one
aawhkaghtagh,thing of a while ago
aawhtagh,jade
aaw,blood
aawyagh,blood clot
aaygug,pair of stars seen at dawn, Altair and Tarared in the constellation of the Eagle
aaygu,arrow
aayiigh tanem,preliminary incantation; call to a certain spirit
aaykagh,poker or similar card game; gambling
afkuyagh,cause of something (especially a problem)
aflaagh,thing between two others; middle one
aflenganegh,thrifty person; one who takes good care of what he has
aflu,the span from one thing to another (as from one hour to the next); thing between two others (as a child born between two others)
afsengaghagh,baby mouse
