Aallgha aghnegh,Monday
Aangqaghvig,June; July
Aasagh,former village site west of Cape Chukotskii in Chukotka
Aasa,Singikpak Pt. site east of Southwest Cape on St. Lawrence Island
Aasligh,former village on east shore of Provideniia Bay; Plover Bay in Chukotka
Aghnaghaag,Aghnak River on St. Lawrence Island
Aghnaghaghyaget,Pleides constellation
Aghnegh,site in Chukotka
Aghpuuget,a particular clan
Aghqitaghangha,southern part of Troutman Lake which is next to Gambell
Aghsughalegh,site on the coast east of Gambell at Tiflighak Bay
Aghvighteg,projection of land into lagoon from near the center of the barrier isthmus of Koozata Lagoon on St. Lawrence Island
Aghvillgha aghnegh,Friday
Aghviqaghfiget,the Meregta Gambell Trail
Agigsaghvig,site in Chukotka
Agleghnalghii Taghneghagh,Holy Ghost
Aglughaagh,site on northern shore of Koozata Lagoon near Silook camp
Akitfag,site on coast north from Powooiliak on St. Lawrence Island
Akitfawaagh,site on Powooiliak Bay at the west end of Koozata Lagoon on St. Lawrence Island
Akulkeg,site at point north and west of Akeftapak on St. Lawrence Island
Alngighyag,Algneeyak Pt. on St. Lawrence Island
Amagaghmii,a particular clan
Amaghmelnguut,site in Chukotka on Ittygran Island
Amaraka,America
Amigtuughet,a particular clan
Amliqag,narrows at VABM "Knife" near center of Koozata Lagoon on St. Lawrence Island
Amyag,site in Chukotka, on Ittygran Island
Angaayu,Oongayuk Hill on St. Lawrence Island
Angetequgh,former village west of Cape Stoletia in Chukotka
Angutughvig,July
Angyat,Vngyat Pt. on St. Lawrence Island
Apapaagh,Upapak Pt. on St. Lawrence Island
Apavgu,Apavawook Cape on St. Lawrence Island
Aqeftapag,Akeftapak Bay on St. Lawrence Island
Aqeftapagyagh,point on western shore of Niyrakpak Lagoon (Naayvaghpak) on St. Lawrence Island
Aqfayegaag,Akfayegak Creek on St. Lawrence Island
Aqulakagh,Akoolokok Pt. on St. Lawrence Island
Aqumugh,November
Armaramket,a particular clan
Arutu,site near Cape Cherkasskogo (near the mouth of Tkachen Bay Chukotka)
Atallghagh,site in Chukotka west of mouth of Providenia Bay
Ataneghpag,God
Ategh,Atuk Mtn. (and the salty lake near the summit) on St. Lawrence Island
Atghii,a certain slope east of Gambell which dogteams used to use as a route down into the village
Atneghagh,site at Northwest Cape near Gambell
Atqalghhaaghmii,a particular clan
Atqallghagh,former village between Cape Stoletia and Cape Lesovskogo in Chukotka
Atuuylaap,Venus; the Evening Star
Avate,former village in Chukotka; East Head
Avatmii,a particular clan
Avrugagh,site on Pungokosit Spit by Niyrakpak Lagoon on St. Lawrence Island
Aymaramket,a particular clan
Ayuqligh,mainland Alaskan Eskimo
Ayuqligh*,mainland Alaskan Eskimo
Ayveghyaget,old village site on the east side of presentday Gambell
Ayvigtegh,Aivichtik River and Camp Iveetok at its mouth on St. Lawrence Island; site on the coast east of Gambell; Aivichtik River and Camp Iveetok at its mouth on St. Lawrence Island
Ayvikaate,Ivekan Mtn. on St. Lawrence Island
Egeghagh,former village on eastern side of Provideniia Bay near mouth of bay in Chukotka
Egkughagh,site near Camp Collier (Kangii) before Southside River on St. Lawrence Island
Ellngaghvig,July
Elqiileg,second point on west coast south of Gambell; Nekeelit Pt. on St. Lawrence Island
Emeghagh,lagoon seaward of Mugum Peakon St. Lawrence Island
Esneghag,channel connecting Niyrakpak (Naayvaghpak) Lagoon to ocean on St. Larence Island; lagoon near Nasqaq on St. Lawrence Island
Estamallgha aghnegh,Wednesday
Estegragvag,former village at the northwest point of Yttygran Island in Chukotka
Hotel,site at cliffs on the southeast side of Myghapowit Mtn. on St. Lawrence Island
Igllutka,site located to the west of Lake Nayvak (the lagoon where old Chaplino is at the eastern corner) in Chukotka
Iingghilukagh,site in Chukotka, on Ittygran Island
