~sf-w%:(e)nkuk,N and partner; N and associate(s); N and family
~sf-w%:(e)nkut,N and partner; N and associate(s); N and family
–ghhaq*,little N; small N; bit of N
~fngiighhaq*,little N; small N; bit of N
–ghllak,big N; large N; lots of N
–ghnaggaq*,big N
–ghrugllak,big N; large N
–ghruk,big old N; poor old N
–ghrukutaaghllak,huge N; gigantic N
–ghrukutaaq,big N; large N; huge N
–ghrupak,darned old N
@kaghaq,small N
~–kaghqaq,something to be used as N; future N
+kaq,raw material for N
~–kegtaq,one with good N
~–kenghhaq*,newly made or newly acquired N
–krak,fancy piece of of N
–kuvinghaq,remains of N
+kwaaq,leftover N
–lek,one having N; one with N
–lghun,lots of N; a number of N; several N; a group of N
–lghutaq,place for N; container for N
–lgun,one with the same N
–linghaq*,thing of N
–llaak,crude N; clumsy N; bad N
–llegaq*,crudely made N 
–llgaq,one with small N; little one with N
+lluggaq,dear little meek N
–lluggaq,dear little meek N
+lluk,poor quality N; bad N; undesirable N; N not in its ideal state
–lluk,poor quality N; bad N; undesirable N; N not in its ideal state
–lugpigaq,fine old N
–luk,old (in age) N
~fmii,resident of N; inhabitant of N
~fmik,thing held in one's N 
~fmiiq,thing held in one's N
–mlaaq,little bit of N or little thing like N
–mraaq,little bit of N or little thing like N
–mzaaq,little bit of N or little thing like N
–mleghaq,little bit of N or little thing like N 
–mreghaq,little bit of N or little thing like N
–mzeghaq,little bit of N or little thing like N
–vlaaq,little bit of N or little thing like N
–vleghaq,little bit of N or little thing like N
–vraaq,little bit of N or little thing like N
–vreghaq,little bit of N or little thing like N
–vzaaq,little bit of N or little thing like N
–vzeghaq,little bit of N or little thing like N
–msiiq,something like N
–msuggaq*,no N; virtually no N
–ngeltaq,small N; little N
–ngertaq,small N; little N
–ngestaq,small N; little N
~%:(ng)inaq*,only N; just N; exactly N
~(ng)iitaq,protective device for or like N
+ni,the smell of N; the odor of N; the taste of N
~f(p/v)alluq,one with big N; mostly N
–penaaq,homely N; shabby N; dilapidated N; ugly N
–peraq,small N; makeshift N; not quite correct N
–perewaaq,all, only or totally N
–peruk,one like N
–pestaaq,truly N
–pik,real N; genuine N; authentic N; old-fashioned N
+qaq,one to the N
–qinghaq,thing of N
–qliq*,thing that is far to the N direction
–qraq,small N; thing like N
–qruk,good old N; bad old N (paradoxically); troublesome N
+qutaq,device associated with N
+raghaq,brand new N
+raaghaq,new N
–raaghinaq*,nothing but N; just N; only N
+raak,thing like N
–raaq,new-fangled N (as opposed to traditional style N); modern N
–rraak,crude N; clumsy N; bad N; shabby N; discarded N
–siiq,to get lots of N; to gather lots of N
–sluvegaq,little N
–sngwaaghaq,tiny N; very small N; very little N
–squghhaq*,very small N; very little N; tiny N
–squllgaq,one with small N
–squq,small N; little N
–staghhiinaq*,only N; each one an N 
+taq,the N part of something; thing of N; acquired N; caught N
+tuqaq,one that has lots of N
–tuqaq,one that has lots of N
–vyiiq,crude N; makeshift N
–vziiq,crude N; makeshift N
+yaga,multitude of N; abundance of N; lots of N
–yaaq,short or small N (article of clothing)
