aghnalqwaaq,old lady
akuutaq,"mixture of berries, seal oil, sugar etc., ""Eskimo ice cream"""
akuzi-,to speak
alangquq,ring finger
apeghtughista,teacher
asak,paternal aunt
atugh-,to use
ighaleqetaaq,star
igleghte-,to travel
ila,relative; associate; part; one or some (of)
kaki-,to sew
Karakae,Koryak
lalala,dew
manik,bird's egg
mesuuna,hairbrush; comb
mesuuna-,to brush or comb one's hair
nulugh-,to ice-fish; to dunk a tea bag
nuluq,tea bag
payae,mouth (non-anatomical); hatch of kayak
penguq,mound
qaguq,forehead
qayae,surface; top
qayuq,tea; broth
siivanlleq,elder
siqineq,sun
tanqiq,moon; month
teghikusaq,animal
tengegkayuk,"airplane (plural, tengegkayuget, often used for one airplane)"
ungipaghagh-,to tell a story
ungipaghaq,traditional story; tale; legend
uyaquq,neck
walguyaak,snowshoe
Yupigestun,in the Yupik language (inflected form)
waapae,rope
qergesae,window
