afsengaq*,"vole, locally mouse"
aghnaq,woman
aghneq,day
amaa,wolf
angyaq,boat
anipa,owl
ateq,name
atkuk,parka
ayveq,walrus
gguta,tooth
iyae,eye
kamek,"skin boot, mukluk"
kaviiq,fox
kemek,flesh; skin
kii,wound
kiik,summer
kiikw,river
mangteghaq,house
nae,home
nanuq,polar bear
naayghaq,mountain
bone,neghqwaaq
qikmiq,dog
qiiqw,grey hair; cough
qulmesiin,cooking pot
repa,hammer
riigta,animal's den
savik,knife
siguta,ear
siku,ice
sikuq*,needle
tafsi,belt
taghnughhaq*,child
ulaaq,"semi-lunar knife, woman's-knife, ulu"
uupa,sea peach
uyghak,"stone, rock"
yaqulek,angel
yughaghta,"Yupik minister, clergyman"
yuk,person; man
Yupik,Siberian I St. Lawrence Island Eskimo person
