alleg[V][Trns][Opt][NEG][2Sg][1Du]	allefqaamtung
alleg[V][Trns][Opt][NEG][2Sg][1Pl]	allefqaamta
alleg[V][Trns][Opt][NEG][2Sg][1Sg]	allefqaama
alleg[V][Trns][Opt][NEG][2Sg][3Du]	allefqaagkenka
alleg[V][Trns][Opt][NEG][2Sg][3Pl]	allefqiita
alleg[V][Trns][Opt][NEG][2Sg][3Sg]	allefqaan
aqfa[V][Trns][Opt][NEG][2Sg][1Du]	aqfafqaamtung
aqfa[V][Trns][Opt][NEG][2Sg][1Pl]	aqfafqaamta
aqfa[V][Trns][Opt][NEG][2Sg][1Sg]	aqfafqaama
aqfa[V][Trns][Opt][NEG][2Sg][3Du]	aqfafqaagkenka
aqfa[V][Trns][Opt][NEG][2Sg][3Pl]	aqfafqiita
aqfa[V][Trns][Opt][NEG][2Sg][3Sg]	aqfafqaan
egte[V][Trns][Opt][NEG][2Sg][1Du]	egtefqaamtung
egte[V][Trns][Opt][NEG][2Sg][1Pl]	egtefqaamta
egte[V][Trns][Opt][NEG][2Sg][1Sg]	egtefqaama
egte[V][Trns][Opt][NEG][2Sg][3Du]	egtefqaagkenka
egte[V][Trns][Opt][NEG][2Sg][3Pl]	egtefqiita
egte[V][Trns][Opt][NEG][2Sg][3Sg]	egtefqaan
gaagh[V][Trns][Opt][NEG][2Sg][1Du]	gaafqaamtung
gaagh[V][Trns][Opt][NEG][2Sg][1Pl]	gaafqaamta
gaagh[V][Trns][Opt][NEG][2Sg][1Sg]	gaafqaama
gaagh[V][Trns][Opt][NEG][2Sg][3Du]	gaafqaagkenka
gaagh[V][Trns][Opt][NEG][2Sg][3Pl]	gaafqiita
gaagh[V][Trns][Opt][NEG][2Sg][3Sg]	gaafqaan
kaaw[V][Trns][Opt][NEG][2Sg][1Du]	kaafqaamtung
kaaw[V][Trns][Opt][NEG][2Sg][1Pl]	kaafqaamta
kaaw[V][Trns][Opt][NEG][2Sg][1Sg]	kaafqaama
kaaw[V][Trns][Opt][NEG][2Sg][3Du]	kaafqaagkenka
kaaw[V][Trns][Opt][NEG][2Sg][3Pl]	kaafqiita
kaaw[V][Trns][Opt][NEG][2Sg][3Sg]	kaafqaan
kayusigh[V][Trns][Opt][NEG][2Sg][1Du]	kayusifqaamtung
kayusigh[V][Trns][Opt][NEG][2Sg][1Pl]	kayusifqaamta
kayusigh[V][Trns][Opt][NEG][2Sg][1Sg]	kayusifqaama
kayusigh[V][Trns][Opt][NEG][2Sg][3Du]	kayusifqaagkenka
kayusigh[V][Trns][Opt][NEG][2Sg][3Pl]	kayusifqiita
kayusigh[V][Trns][Opt][NEG][2Sg][3Sg]	kayusifqaan
lata[V][Trns][Opt][NEG][2Sg][1Du]	latafqaamtung
lata[V][Trns][Opt][NEG][2Sg][1Pl]	latafqaamta
lata[V][Trns][Opt][NEG][2Sg][1Sg]	latafqaama
lata[V][Trns][Opt][NEG][2Sg][3Du]	latafqaagkenka
lata[V][Trns][Opt][NEG][2Sg][3Pl]	latafqiita
lata[V][Trns][Opt][NEG][2Sg][3Sg]	latafqaan
liite[V][Trns][Opt][NEG][2Sg][1Du]	liitefqaamtung
liite[V][Trns][Opt][NEG][2Sg][1Pl]	liitefqaamta
liite[V][Trns][Opt][NEG][2Sg][1Sg]	liitefqaama
liite[V][Trns][Opt][NEG][2Sg][3Du]	liitefqaagkenka
liite[V][Trns][Opt][NEG][2Sg][3Pl]	liitefqiita
liite[V][Trns][Opt][NEG][2Sg][3Sg]	liitefqaan
nagate[V][Trns][Opt][NEG][2Sg][1Du]	nagatefqaamtung
nagate[V][Trns][Opt][NEG][2Sg][1Pl]	nagatefqaamta
nagate[V][Trns][Opt][NEG][2Sg][1Sg]	nagatefqaama
nagate[V][Trns][Opt][NEG][2Sg][3Du]	nagatefqaagkenka
nagate[V][Trns][Opt][NEG][2Sg][3Pl]	nagatefqiita
nagate[V][Trns][Opt][NEG][2Sg][3Sg]	nagatefqaan
payegh[V][Trns][Opt][NEG][2Sg][1Du]	payefqaamtung
payegh[V][Trns][Opt][NEG][2Sg][1Pl]	payefqaamta
payegh[V][Trns][Opt][NEG][2Sg][1Sg]	payefqaama
payegh[V][Trns][Opt][NEG][2Sg][3Du]	payefqaagkenka
payegh[V][Trns][Opt][NEG][2Sg][3Pl]	payefqiita
payegh[V][Trns][Opt][NEG][2Sg][3Sg]	payefqaan
pugimagh[V][Trns][Opt][NEG][2Sg][1Du]	pugimafqaamtung
pugimagh[V][Trns][Opt][NEG][2Sg][1Pl]	pugimafqaamta
pugimagh[V][Trns][Opt][NEG][2Sg][1Sg]	pugimafqaama
pugimagh[V][Trns][Opt][NEG][2Sg][3Du]	pugimafqaagkenka
pugimagh[V][Trns][Opt][NEG][2Sg][3Pl]	pugimafqiita
pugimagh[V][Trns][Opt][NEG][2Sg][3Sg]	pugimafqaan
pumsug[V][Trns][Opt][NEG][2Sg][1Du]	pumsufqaamtung
pumsug[V][Trns][Opt][NEG][2Sg][1Pl]	pumsufqaamta
