aane[V][Intr][Opt][PRS][1Du]	aaneltung
aane[V][Intr][Opt][PRS][1Pl]	aanelta
aane[V][Intr][Opt][PRS][2Du]	aanitek
aane[V][Intr][Opt][PRS][2Pl]	aanitek
aane[V][Intr][Opt][PRS][2Sg]	aani
aghula[V][Intr][Opt][PRS][1Du]	aghulaltung
aghula[V][Intr][Opt][PRS][1Pl]	aghulalta
aghula[V][Intr][Opt][PRS][2Du]	aghulatek
aghula[V][Intr][Opt][PRS][2Pl]	aghulatek
aghula[V][Intr][Opt][PRS][2Sg]	aghula
alleg[V][Intr][Opt][PRS][1Du]	aallgeltung
alleg[V][Intr][Opt][PRS][1Pl]	aallgelta
alleg[V][Intr][Opt][PRS][2Du]	allegtek
alleg[V][Intr][Opt][PRS][2Pl]	allegtek
alleg[V][Intr][Opt][PRS][2Sg]	aallgi
aqii[V][Intr][Opt][PRS][1Du]	aqiiltung
aqii[V][Intr][Opt][PRS][1Pl]	aqiilta
aqii[V][Intr][Opt][PRS][2Du]	aqiitek
aqii[V][Intr][Opt][PRS][2Pl]	aqiitek
aqii[V][Intr][Opt][PRS][2Sg]	aqiigi
aqume[V][Intr][Opt][PRS][1Du]	aqumeltung
aqume[V][Intr][Opt][PRS][1Pl]	aqumelta
aqume[V][Intr][Opt][PRS][2Du]	aqumitek
aqume[V][Intr][Opt][PRS][2Pl]	aqumitek
aqume[V][Intr][Opt][PRS][2Sg]	aqumi
gaagh[V][Intr][Opt][PRS][1Du]	gaagheltung
gaagh[V][Intr][Opt][PRS][1Pl]	gaaghelta
gaagh[V][Intr][Opt][PRS][2Du]	gaaghtek
gaagh[V][Intr][Opt][PRS][2Pl]	gaaghtek
gaagh[V][Intr][Opt][PRS][2Sg]	gaaghi
guute[V][Intr][Opt][PRS][1Du]	guuteltung
guute[V][Intr][Opt][PRS][1Pl]	guutelta
guute[V][Intr][Opt][PRS][2Du]	guutek
guute[V][Intr][Opt][PRS][2Pl]	guutek
guute[V][Intr][Opt][PRS][2Sg]	guuten
ingaghte[V][Intr][Opt][PRS][1Du]	ingaghteltung
ingaghte[V][Intr][Opt][PRS][1Pl]	ingaghtelta
ingaghte[V][Intr][Opt][PRS][2Du]	ingaghtek
ingaghte[V][Intr][Opt][PRS][2Pl]	ingaghtek
ingaghte[V][Intr][Opt][PRS][2Sg]	ingaghten
inghu[V][Intr][Opt][PRS][1Du]	inghultung
inghu[V][Intr][Opt][PRS][1Pl]	inghulta
inghu[V][Intr][Opt][PRS][2Du]	inghutek
inghu[V][Intr][Opt][PRS][2Pl]	inghutek
inghu[V][Intr][Opt][PRS][2Sg]	inghu
itegh[V][Intr][Opt][PRS][1Du]	iitgheltung
itegh[V][Intr][Opt][PRS][1Pl]	iitghelta
itegh[V][Intr][Opt][PRS][2Du]	iteghtek
itegh[V][Intr][Opt][PRS][2Pl]	iteghtek
itegh[V][Intr][Opt][PRS][2Sg]	iitghi
kaaw[V][Intr][Opt][PRS][1Du]	kaaweltung
kaaw[V][Intr][Opt][PRS][1Pl]	kaawelta
kaaw[V][Intr][Opt][PRS][2Du]	kaawtek
kaaw[V][Intr][Opt][PRS][2Pl]	kaawtek
kaaw[V][Intr][Opt][PRS][2Sg]	kaawi
lata[V][Intr][Opt][PRS][1Du]	lataltung
lata[V][Intr][Opt][PRS][1Pl]	latalta
lata[V][Intr][Opt][PRS][2Du]	latatek
lata[V][Intr][Opt][PRS][2Pl]	latatek
lata[V][Intr][Opt][PRS][2Sg]	lata
liite[V][Intr][Opt][PRS][1Du]	liiteltung
liite[V][Intr][Opt][PRS][1Pl]	liitelta
liite[V][Intr][Opt][PRS][2Du]	liitek
liite[V][Intr][Opt][PRS][2Pl]	liitek
liite[V][Intr][Opt][PRS][2Sg]	liiten
mayugh[V][Intr][Opt][PRS][1Du]	mayuultung
mayugh[V][Intr][Opt][PRS][1Pl]	mayuulta
mayugh[V][Intr][Opt][PRS][2Du]	mayughtek
mayugh[V][Intr][Opt][PRS][2Pl]	mayughtek
mayugh[V][Intr][Opt][PRS][2Sg]	mayaa
nagate[V][Intr][Opt][PRS][1Du]	nagateltung
nagate[V][Intr][Opt][PRS][1Pl]	nagatelta
nagate[V][Intr][Opt][PRS][2Du]	nagatek
nagate[V][Intr][Opt][PRS][2Pl]	nagatek
nagate[V][Intr][Opt][PRS][2Sg]	nagaten
nanglii[V][Intr][Opt][PRS][1Du]	nangliiltung
nanglii[V][Intr][Opt][PRS][1Pl]	nangliilta
nanglii[V][Intr][Opt][PRS][2Du]	nangliitek
nanglii[V][Intr][Opt][PRS][2Pl]	nangliitek
nanglii[V][Intr][Opt][PRS][2Sg]	nangliigi
nekeve[V][Intr][Opt][PRS][1Du]	nekeveltung
nekeve[V][Intr][Opt][PRS][1Pl]	nekevelta
nekeve[V][Intr][Opt][PRS][2Du]	nekevitek
nekeve[V][Intr][Opt][PRS][2Pl]	nekevitek
nekeve[V][Intr][Opt][PRS][2Sg]	nekevi
pugimagh[V][Intr][Opt][PRS][1Du]	pugimaaltung
pugimagh[V][Intr][Opt][PRS][1Pl]	pugimaalta
pugimagh[V][Intr][Opt][PRS][2Du]	pugimaghtek
pugimagh[V][Intr][Opt][PRS][2Pl]	pugimaghtek
pugimagh[V][Intr][Opt][PRS][2Sg]	pugimaa
qavagh[V][Intr][Opt][PRS][1Du]	qavaaltung
qavagh[V][Intr][Opt][PRS][1Pl]	qavaalta
qavagh[V][Intr][Opt][PRS][2Du]	qavaghtek
qavagh[V][Intr][Opt][PRS][2Pl]	qavaghtek
qavagh[V][Intr][Opt][PRS][2Sg]	qavaa
qayugh[V][Intr][Opt][PRS][1Du]	qayuultung
