aaw[N][Abs][1SgPoss][SgPosd]	aakwa
aghnagh-~:(ng₁)u[N→V][V][Intr][Ind][3Sg]	aghnaaguq
angyagh-–ghllag[N→N][N][Abs][Unpd][Sg]	angyaghllak
angyagh[N][Abs][1DuPoss][SgPosd]	angyaghpung
angyagh[N][Abs][1PlPoss][PlPosd]	angyaput
angyagh[N][Abs][1PlPoss][SgPosd]	angyaghput
angyagh[N][Abs][2PlPoss][PlPosd]	angyasi
angyagh[N][Abs][2PlPoss][SgPosd]	angyaghsi
apa[N][Abs][1SgPoss][SgPosd]	apaka
ata-~:(ng₁)u[N→V][V][Intr][Ind][3Sg]	atanguuq
ategh[N][Abs][1SgPoss][SgPosd]	aatqa
ggute[N][Abs][1SgPoss][SgPosd]	gguutka
ighnegh[N][Abs][1SgPoss][SgPosd]	ighneqa
iye[N][Abs][1SgPoss][SgPosd]	iiska
kemeg[N][Abs][1SgPoss][SgPosd]	kemka
kiiw-–ghllag[N→N][N][Abs][Unpd][Du]	kiiwhllagek
kiiw-–ghrugllag[N→N][N][Abs][Unpd][Du]	kiiwrugllagek
mekestaaghhagh*[N][Abs][Unpd][Sg]	mekestaaghhaq
naa-–leg[N→N][N][Abs][Unpd][Sg]	naalek
negh[V][Intr][Ind][1Du]	neghtukung
negh[V][Intr][Ind][1Pl]	neghtukut
negh[V][Intr][Ind][3Pl]	neghtut
negh[V][Intr][Ind][3Sg]	neghtuq
ne[N][Abs][1DuPoss][SgPosd]	nevung
ne[N][Abs][1PlPoss][PlPosd]	neput
ne[N][Abs][1PlPoss][SgPosd]	nevut
ne[N][Abs][1SgPoss][SgPosd]	neka
ne[N][Abs][2PlPoss][PlPosd]	nesi
ne[N][Abs][2PlPoss][SgPosd]	nezi
nuliigh[N][Abs][1SgPoss][SgPosd]	nuliiqa
nuna-–ghllag[N→N][N][Abs][Unpd][Sg]	nunaghllak
panig-–leg[N→N][N][Abs][Unpd][Sg]	panilek
panig[N][Abs][1SgPoss][SgPosd]	panika
qiighw[N][Abs][1SgPoss][SgPosd]	qiiqwa
qikmigh-–ghrugllag[N→N]-–leg[N→N][N][Abs][Unpd][Pl]	qikmighrugllalget
qikmigh[N][Abs][1SgPoss][PlPosd]	qikminka
qikmigh[N][Abs][1SgPoss][SgPosd]	qikmiqa
qulmesiite-–ghllag[N→N][N][Abs][Unpd][Sg]	qulmesiiteghllak
qulmesiite-–ghrugllag[N→N][N][Abs][Unpd][Sg]	qulmesiiteghrugllak
sigute[N][Abs][1SgPoss][SgPosd]	sigutka
sikig-–ghllag[N→N][N][Abs][Unpd][Sg]	sikigllak
takestaaghhagh*[N][Abs][Unpd][Sg]	takestaaghhaq
