atuqe[V][Trns][Ind][1Sg][2Sg]	atuqamken
atuqe[V][Trns][Ind][1Sg][3Pl]	atuqanka
atuqe[V][Trns][Ind][1Sg][3Sg]	atuqaqa
atuqe[V][Trns][Ind][2Sg][1Sg]	atuqapenga
atuqe[V][Trns][Ind][2Sg][3Pl]	atuqaten
atuqe[V][Trns][Ind][2Sg][3Sg]	atuqan
atuqe[V][Trns][Ind][3Pl][3Pl]	atuqiit
atuqe[V][Trns][Ind][3Pl][3Sg]	atuqaat
atuqe[V][Trns][Ind][3Sg][1Sg]	atuqaanga
atuqe[V][Trns][Ind][3Sg][2Sg]	atuqaaten
atuqe[V][Trns][Ind][3Sg][3Pl]	atuqii
atuqe[V][Trns][Ind][3Sg][3Sg]	atuqaa
aveg[V][Trns][Ind][1Sg][2Sg]	aavgamken
aveg[V][Trns][Ind][1Sg][3Pl]	aavganka
aveg[V][Trns][Ind][1Sg][3Sg]	aavgaqa
aveg[V][Trns][Ind][2Sg][1Sg]	aavgapenga
aveg[V][Trns][Ind][2Sg][3Pl]	aavgaten
aveg[V][Trns][Ind][2Sg][3Sg]	aavgan
aveg[V][Trns][Ind][3Pl][3Pl]	aavgiit
aveg[V][Trns][Ind][3Pl][3Sg]	aavgaat
aveg[V][Trns][Ind][3Sg][1Sg]	aavgaanga
aveg[V][Trns][Ind][3Sg][2Sg]	aavgaaten
aveg[V][Trns][Ind][3Sg][3Pl]	aavgii
aveg[V][Trns][Ind][3Sg][3Sg]	aavgaa
esghagh[V][Trns][Ind][1Sg][2Sg]	esghaghamken
esghagh[V][Trns][Ind][1Sg][3Pl]	esghaghanka
esghagh[V][Trns][Ind][1Sg][3Sg]	esghaghaqa
esghagh[V][Trns][Ind][2Sg][1Sg]	esghaghapenga
esghagh[V][Trns][Ind][2Sg][3Pl]	esghaghaten
esghagh[V][Trns][Ind][2Sg][3Sg]	esghaghan
esghagh[V][Trns][Ind][3Pl][3Pl]	esghaghiit
esghagh[V][Trns][Ind][3Pl][3Sg]	esghaghaat
esghagh[V][Trns][Ind][3Sg][1Sg]	esghaghaanga
esghagh[V][Trns][Ind][3Sg][2Sg]	esghaghaaten
esghagh[V][Trns][Ind][3Sg][3Pl]	esghaghii
esghagh[V][Trns][Ind][3Sg][3Sg]	esghaghaa
guute[V][Trns][Ind][1Sg][2Sg]	guutamken
guute[V][Trns][Ind][1Sg][3Pl]	guutanka
guute[V][Trns][Ind][1Sg][3Sg]	guutaqa
guute[V][Trns][Ind][2Sg][1Sg]	guutapenga
guute[V][Trns][Ind][2Sg][3Pl]	guutaten
guute[V][Trns][Ind][2Sg][3Sg]	guutan
guute[V][Trns][Ind][3Pl][3Pl]	guutiit
guute[V][Trns][Ind][3Pl][3Sg]	guutaat
guute[V][Trns][Ind][3Sg][1Sg]	guutaanga
guute[V][Trns][Ind][3Sg][2Sg]	guutaaten
guute[V][Trns][Ind][3Sg][3Pl]	guutii
guute[V][Trns][Ind][3Sg][3Sg]	guutaa
igamsiqayugvike[V][Trns][Ind][1Sg][2Sg]	igamsiqayugvikamken
igamsiqayugvike[V][Trns][Ind][1Sg][3Pl]	igamsiqayugvikanka
igamsiqayugvike[V][Trns][Ind][1Sg][3Sg]	igamsiqayugvikaqa
igamsiqayugvike[V][Trns][Ind][2Sg][1Sg]	igamsiqayugvikapenga
igamsiqayugvike[V][Trns][Ind][2Sg][3Pl]	igamsiqayugvikaten
igamsiqayugvike[V][Trns][Ind][2Sg][3Sg]	igamsiqayugvikan
igamsiqayugvike[V][Trns][Ind][3Pl][3Pl]	igamsiqayugvikiit
igamsiqayugvike[V][Trns][Ind][3Pl][3Sg]	igamsiqayugvikaat
igamsiqayugvike[V][Trns][Ind][3Sg][1Sg]	igamsiqayugvikaanga
igamsiqayugvike[V][Trns][Ind][3Sg][2Sg]	igamsiqayugvikaaten
igamsiqayugvike[V][Trns][Ind][3Sg][3Pl]	igamsiqayugvikii
igamsiqayugvike[V][Trns][Ind][3Sg][3Sg]	igamsiqayugvikaa
inghu[V][Trns][Ind][1Sg][2Sg]	inghwaamken
inghu[V][Trns][Ind][1Sg][3Pl]	inghwaanka
inghu[V][Trns][Ind][1Sg][3Sg]	inghwaaqa
inghu[V][Trns][Ind][2Sg][1Sg]	inghwaapenga
inghu[V][Trns][Ind][2Sg][3Pl]	inghwaaten
inghu[V][Trns][Ind][2Sg][3Sg]	inghwaan
