aane-(te)sigate[Cmpd_Vbl][V→V][V][Trns][Ind][3Sg][3Sg]	aanesigataa
aane-(te)sug[Cmpd_Vbl][V→V][V][Trns][Ind][3Sg][3Sg]	aanesugaa
aghnegh-te[N→V][V][Intr][Ind][3Sg]	aghneghtuq
aghnegh-tuumagh*[N→V][Quant_Qual][3Sg]	aghneghtuumaan
aghvegh-tagh[N→N][N][Abs][3SgPoss][SgPosd]	aghveghtaa
aki-tuqagh[V→N][N][Abs][Unpd][Sg]	akituqaq
akitu-tala[V→N][N][Abs][Unpd][Sg]	akitutala
amel-tu[N→V][V][Intr][Ind][3Sg]	ameltuuq
amel-tuqagh[N→N][N][Abs][Unpd][Sg]	ameltuqaq
amug-tagh[V→V][V][Intr][Ind][3Sg]	amugtaghtuq
angyagh-tulli[V→V][V][Intr][Ind][3Sg]	angyaghtulliiq
aveg-tugh[V→V][V][Trns][Ind][3Sg][3Sg]	avegtughaa
ayumigh*-tagh[N→N][N][Abs][Unpd][Sg]	ayumightaq
Ayuqligh-ti[N→V][V][Intr][Ind][3Sg]	ayuqlightiiq
ayvegh-tugh[N→V][V][Intr][Ind][3Sg]	ayveghtughtuq
ggayeg-tagh[N→N][N][Abs][Unpd][Sg]	ggayegtaq
ighleg-tuqagh[V→N][N][Abs][Unpd][Sg]	ighlegtuqaq
ighleg-tu[V→V][V][Intr][Ind][3Sg]	ighlegtuuq
ighnegh-tuumagh*[N→V][Quant_Qual][4Sg]	ighneghtuumaghmi
ighsani-tagh[V→V][V][Intr][Ind][3Sg]	ighsanitaghtuq
ighu-tagh[N→N][N][Abs][Unpd][Sg]	ighutaq
iglaghtu-tala[V→N][N][Abs][Unpd][Sg]	iglaghtutala
imagh-tu[N→V][V][Intr][Ind][3Sg]	imaghtuuq
ingaghte-(te)snanigh[Cmpd_Vbl][V→V][V][Trns][Ind][3Sg][3Sg]	ingaghtesnanighaa
iqe-tu[N→V][V][Intr][Ind][3Sg]	iqetuuq
itegh-(te)snaanghite[Cmpd_Vbl][V→V][V][Trns][Ind][1Sg][2Sg]	iteghtesnaanghitamken
kafsag-tagh[N→V][V][Intr][Ind][3Sg]	kafsagtaghtuq
kelig-tugh[V→V][V][Trns][Ind][3Sg][3Sg]	keligtughaa
kiig-tagh[N→N][N][Abs][Unpd][Sg]	kiigtaq
liigike-tagh[V→V][V][Intr][Ind][3Sg]	liigiketaghtuq
mulu-–tuqagh[V→N][N][Abs][Unpd][Sg]	mulutuqaq
naangqugh-tagh[N→N][N][Abs][Unpd][Sg]	naangqughtaq
nanevgagh-tagh[N→N][N][Abs][Unpd][Sg]	nanevgaghtaq
nanglleg-tagh[V→V][V][Intr][Ind][3Sg]	nangllegtaghtuq
nanugh*-te[N→V][V][Intr][Ind][3Sg]	nanughtuq
neghe-(te)snanigh[Cmpd_Vbl][V→V][V][Trns][Ind][3Sg][3Sg]	neghesnanighaa
neghqwaagh-tagh[N→N][N][Abs][Unpd][Sg]	neghqwaaghtaq
neqe-te[N→V][V][Intr][Ind][3Sg]	neqetuq
nuyagh-tu[N→V][V][Intr][Ind][3Sg]	nuyaghtuuq
nuyagh-tuqagh[N→N][N][Abs][Unpd][Sg]	nuyaghtuqaq
pilag-tugh[V→V][V][Trns][Ind][3Sg][3Sg]	pilagtughaa
puygu-tagh[V→V][V][Intr][Ind][3Sg]	puygutaghtuq
qagugh-tuqagh[N→N][N][Abs][Unpd][Sg]	qagughtuqaq
qavagh-(te)snanigh[Cmpd_Vbl][V→V][V][Trns][Ind][3Sg][3Sg]	qavaghtesnanighaa
qavagh-(te)sug[Cmpd_Vbl][V→V][V][Trns][Ind][3Sg][3Sg]	qavaghtesugaa
qavagh-–tu[V→V][V][Intr][Ind][3Sg]	qavatuuq
qawaag-tagh[N→N][N][Abs][1SgPoss][PlPosd]	qawaagtanka
qawaag-te[N→V][V][Intr][Ind][3Sg]	qawaagtuq
qiighqagh-te[N→V][V][Intr][Ind][3Sg]	qiighqaghtuq
qiingu-tuqagh[N→N][N][Abs][Unpd][Sg]	qiingutuqaq
quug-te[N→V][V][Intr][Ind][3Sg]	quugtuq
Quyilleg-ti[N→V][V][Intr][Ind][3Sg]	quyillegtiiq
savig-tagh[N→N][N][Abs][Unpd][Sg]	savigtaq
Sivuqagh*-te[N→V][V][Intr][Ind][3Sg]	sivuqaghtuq
suksug-tagh[N→V][V][Intr][Ind][3Sg]	suksugtaghtuq
sulug-tagh[N→V][V][Intr][Ind][3Sg]	sulugtaghtuq
suqsugh-tagh[N→V][V][Intr][Ind][3Sg]	suqsughtaghtuq
tafsi-tagh[N→N][N][Abs][3SgPoss][SgPosd]	tafsitaa
tafsi-tagh[N→N][N][Abs][Unpd][Sg]	tafsitaq
tawaqa-tupag[N→V][V][Intr][Ind][3Sg]	tawaqatupagtuq
temke-tuqagh[N→N][N][Abs][Unpd][Sg]	temketuqaq
tepe-(te)sigate[Cmpd_Vbl][V→V][V][Trns][Ind][3Pl][3Sg]	tepesigataat
tugu-(te)snanigh[Cmpd_Vbl][V→V][V][Trns][Ind][3Sg][3Sg]	tugusnanighaa
ukazigh-tu[N→V][V][Intr][Ind][3Sg]	ukazightuuq
uksughtu-tala[V→N][N][Abs][3SgPoss][SgPosd]	uksughtutalanga
