afsengagh*[Abs][Du]	afsengaak
afsengagh*[Abs][Pl]	afsengaat
afsengagh*[Abs][Sg]	afsengaq
aghnagh[Abs][Du]	aghnak
aghnagh[Abs][Pl]	aghnat
aghnagh[Abs][Sg]	aghnaq
aghnegh[Abs][Du]	aghneghek
aghnegh[Abs][Pl]	aghneghet
aghnegh[Abs][Sg]	aghneq
amaa[Abs][Du]	amaak
amaa[Abs][Pl]	amaat
amaa[Abs][Sg]	amaa
angyagh[Abs][Du]	angyak
angyagh[Abs][Pl]	angyat
angyagh[Abs][Sg]	angyaq
anipa[Abs][Du]	anipak
anipa[Abs][Pl]	anipat
anipa[Abs][Sg]	anipa
ategh[Abs][Du]	aatghek
ategh[Abs][Pl]	aatghet
ategh[Abs][Sg]	ateq
atkug[Abs][Du]	atkugek
atkug[Abs][Pl]	atkuget
atkug[Abs][Sg]	atkuk
ayvegh[Abs][Du]	ayveghek
ayvegh[Abs][Pl]	ayveghet
ayvegh[Abs][Sg]	ayveq
ggute[Abs][Du]	ggutek
ggute[Abs][Pl]	ggutet
ggute[Abs][Sg]	ggun
ggute[Abs][Sg]	gguta
iye[Abs][Du]	iyek
iye[Abs][Pl]	iyet
iye[Abs][Sg]	iya
kameg[Abs][Du]	kaamgek
kameg[Abs][Pl]	kaamget
kameg[Abs][Sg]	kamek
kaviigh[Abs][Du]	kaviighek
kaviigh[Abs][Pl]	kaviighet
kaviigh[Abs][Sg]	kaviiq
kemegh[Abs][Du]	kemghek
kemegh[Abs][Pl]	kemghet
kemegh[Abs][Sg]	kemeq
kiighw[Abs][Du]	kiighwek
kiighw[Abs][Pl]	kiighwet
kiighw[Abs][Sg]	kiiqw
kiigh[Abs][Du]	kiighek
kiigh[Abs][Pl]	kiighet
kiigh[Abs][Sg]	kiiq
kii[Abs][Du]	kiik
kii[Abs][Pl]	kiit
kii[Abs][Sg]	kii
mangteghagh[Abs][Du]	mangteghak
mangteghagh[Abs][Pl]	mangteghat
mangteghagh[Abs][Sg]	mangteghaq
naayghagh[Abs][Du]	naayghak
naayghagh[Abs][Pl]	naayghat
naayghagh[Abs][Sg]	naayghaq
nanugh[Abs][Du]	nanuk
nanugh[Abs][Pl]	nanut
nanugh[Abs][Sg]	nanuq
neghqwaagh[Abs][Du]	neghqwaaghek
neghqwaagh[Abs][Pl]	neghqwaaghet
neghqwaagh[Abs][Sg]	neghqwaaq
ne[Abs][Du]	nek
ne[Abs][Pl]	net
ne[Abs][Sg]	na
qiighw[Abs][Du]	qiighwek
qiighw[Abs][Pl]	qiighwet
qiighw[Abs][Sg]	qiiqw
qikmigh[Abs][Du]	qikmik
qikmigh[Abs][Pl]	qikmit
qikmigh[Abs][Sg]	qikmiq
qulmesiite[Abs][Du]	qulmesiitek
qulmesiite[Abs][Pl]	qulmesiitet
qulmesiite[Abs][Sg]	qulmesiin
qulmesiite[Abs][Sg]	qulmesiita
repa[Abs][Du]	repak
repa[Abs][Pl]	repat
repa[Abs][Sg]	repa
riigta[Abs][Du]	riigtak
riigta[Abs][Pl]	riigtat
riigta[Abs][Sg]	riigta
savik[Abs][Du]	savikek
savik[Abs][Pl]	saviket
savik[Abs][Sg]	savik
sigute[Abs][Du]	sigutek
sigute[Abs][Pl]	sigutet
sigute[Abs][Sg]	sigun
sigute[Abs][Sg]	siguta
siku[Abs][Du]	sikuk
siku[Abs][Pl]	sikut
siku[Abs][Sg]	siku
siqugh*[Abs][Du]	siquuk
siqugh*[Abs][Pl]	siquut
siqugh*[Abs][Sg]	siquq
tafsi[Abs][Du]	tafsik
tafsi[Abs][Pl]	tafsit
tafsi[Abs][Sg]	tafsi
taghnughhagh*[Abs][Du]	taghnughhaak
taghnughhagh*[Abs][Pl]	taghnughhaat
taghnughhagh*[Abs][Sg]	taghnughhaq
ulaagh[Abs][Du]	ulaaghek
ulaagh[Abs][Pl]	ulaaghet
ulaagh[Abs][Sg]	ulaaq
uupa[Abs][Du]	uupak
uupa[Abs][Pl]	uupat
uupa[Abs][Sg]	uupa
uyghag[Abs][Du]	uyghagek
uyghag[Abs][Pl]	uyghaget
uyghag[Abs][Sg]	uyghak
yaquleg[Abs][Du]	yaqulgek
yaquleg[Abs][Pl]	yaqulget
yaquleg[Abs][Sg]	yaqulek
yughaghte[Abs][Du]	yughaghtek
yughaghte[Abs][Pl]	yughaghtet
yughaghte[Abs][Sg]	yughaghta
yug[Abs][Du]	yugek
yug[Abs][Pl]	yuget
yug[Abs][Sg]	yuk
yug[N][Sg]	yuuk
Yupig[Abs][Du]	Yupigek
Yupig[Abs][Pl]	Yupiget
Yupig[Abs][Sg]	Yupik
